title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	
		NCBITaxon:9913		Cow [NCBITaxon:9913]				A group of large, domesticated, cloven-hooved herbivores.	
		NCBITaxon:9850		Deer [NCBITaxon:9850]					
		NCBITaxon:9606		Human [NCBITaxon:9606]				A bipedal primate mammal of the species Homo sapiens.	
		NCBITaxon:9823		Pig [NCBITaxon:9823]				A stout-bodied, hooved and short-legged, omnivorous mammal from the species Sus scofus, with thick skin usually sparsely coated with short bristles.	
		NCBITaxon:9940		Sheep [NCBITaxon:9940]				A domesticated, even-toed, ungluate, ruminant mammal typically kept as livestock for its wool and meat, usually of the species Ovis aries.	
		FOODON:03411433	Shellfish [FOODON:03411433]					The term shellfish is used both broadly and specifically. For regulatory purposes it is often narrowly defined as filter-feeding molluscs such as clams, mussels, and oyster to the exclusion of crustaceans and all else. Although their shells may differ, all shellfish are invertebrates.	
									
									
host (scientific name) menu	HostScientificNameMenu	NCBITaxon:229290	Anoplopoma fimbria [NCBITaxon:229290]					One of two members of the fish family Anoplopomatidae and the only species in the genus Anoplopoma.	
		NCBITaxon:9913	Bos taurus [NCBITaxon:9913]					A group of large, domesticated, cloven-hooved herbivores.	
		NCBITaxon:6565	Crassostrea virginica [NCBITaxon:6565]					A species of true oyster (Crassostrea virginica).	
		NCBITaxon:9031	Gallus gallus [NCBITaxon:9031]					"A domesticated junglefowl of the species Gallus gallus.	"	
		NCBITaxon:9117	Grus americana [NCBITaxon:9117]					An endangered crane species that is native to North America and is named for its whooping sound.	
		NCBITaxon:6706	Homarus americanus [NCBITaxon:6706]					A species of lobster that is found on the Atlantic coast of North America (Homarus americanus).	
		NCBITaxon:9606	Homo sapiens [NCBITaxon:9606]					A bipedal primate mammal of the species Homo sapiens.	
		NCBITaxon:35669	Larus argentatus [NCBITaxon:35669]					A species of large gull, that is up to 66 cm (26 in) long (Larus argentatus).	
		NCBITaxon:126683	Larus delawarensis [NCBITaxon:126683]					A species of ring-billed gull that has a black ring around its bill (Larus delawarensis).	
		NCBITaxon:119606	Larus glaucescens [NCBITaxon:119606]					A species of large, white-headed gull (Larus glaucescens).	
		NCBITaxon:8912	Larus marinus [NCBITaxon:8912]					A species of white gull that has a black back and wings (Larus marinus).	
		NCBITaxon:9103	Meleagris gallopavo [NCBITaxon:9103]					A large, mainly domesticated game bird characterized by a bald head and wattles (in the male) of the species Meleagris gallopavo.	
		NCBITaxon:6550	Mytilus edulis [NCBITaxon:6550]					A medium-sized edible marine bivalve mollusc in the family Mytilidae, the mussels.	
		NCBITaxon:8019	Oncorhynchus kisutch [NCBITaxon:8019]					A species of pacific salmon in North America, that is commonly called as coho salmon.	
		NCBITaxon:8022	Oncorhynchus mykiss [NCBITaxon:8022]					A species of trout native to cold-water tributaries of the Pacific Ocean in Asia and North America (Oncorhynchus mykiss).	
		NCBITaxon:74940	Oncorhynchus tshawytscha [NCBITaxon:74940]					 The largest species of pacific salmon in North America (Oncorhynchus tshawytscha).	
		NCBITaxon:9940	Ovis aries [NCBITaxon:9940]					A domesticated, even-toed, ungluate, ruminant mammal typically kept as livestock for its wool and meat, usually of the species Ovis aries.	
		NCBITaxon:56069	Phalacrocorax auritus [NCBITaxon:56069]					A species of the cormorant family of water birds (Phalacrocorax auritus).	
		NCBITaxon:8030	Salmo salar [NCBITaxon:8030]					A species of ray-finned fish in the family Salmonidae (Salmo salar).	
		NCBITaxon:76058	Somateria mollissima [NCBITaxon:76058]					A species of a large sea-duck that is distributed over the northern coasts of Europe, North America and eastern Siberia (Somateria mollissima).	
		NCBITaxon:9825	Sus scrofa domesticus [NCBITaxon:9825]					A stout-bodied, hooved and short-legged, omnivorous mammal, with thick skin usually sparsely coated with short bristles raised for its meat.	
									
									
host (food production name) menu	HostFoodProductionNameMenu		Cow (by age/production stage) (organizational term)						
		FOODON:03411349		Calf [FOODON:03411349]				Calves are the young of domestic cattle. Calves are reared to become adult cattle, or are slaughtered for their meat, called veal.	
		FOODON:00004411		Dry cow [FOODON:00004411]				A cow that is in a stage of its lactation cycle where milk production ceases prior to calving.	
		FOODON:00004292		Feeder cow [FOODON:00004292]				A young cow mature enough either to undergo backgrounding or to be fattened in preparation for slaughter.	
		FOODON:00004293		Finisher cow [FOODON:00004293]					
		FOODON:03411201		Milker cow [FOODON:03411201]				A cow that is bred specifically for milk production.	
		FOODON:00004294		Stocker cow [FOODON:00004294]				A type of cow that has been weaned and is being fed in a way to add physical bulk to its body.	
		FOODON:00004295		Weanling cow [FOODON:00004295]				A type of young cow that has been weaned and consumes solid food.	
			Cow (by sex/reproductive stage) (organizational term)						
		FOODON:00000015		Bull [FOODON:00000015]				A cattle bull is an adult "intact" (i.e. not castrated) male of a cattle species.	
		NCBITaxon:9913		Cow [NCBITaxon:9913]				A group of large, domesticated, cloven-hooved herbivores.	
		FOODON:00004296		Freemartin [FOODON:00004296]				A cow that is genetically female, but has many characteristics of a male and is usually infertile.	
		FOODON:00002518		Heifer [FOODON:00002518]				A heifer is a young female, under three years of age, of a cattle species before she has had a calf of her own.	
		FOODON:00002531		Steer [FOODON:00002531]				A cattle steer is an adult castrated male of a cattle species.	
			Pig (by age/production stage) (organizational term)						
		FOODON:00003371		Finisher pig [FOODON:00003371]				A grower pig over 70 kg (150 lb) liveweight.	
		FOODON:00003370		Grower pig [FOODON:00003370]				A pig between weaning and sale or transfer to the breeding herd, sold for slaughter or killed for rations.	
		OODON:00004297		Nursing pig [FOODON:00004297 ]					
		NCBITaxon:9823		Pig [NCBITaxon:9823]				A stout-bodied, hooved and short-legged, omnivorous mammal from the species Sus scofus, with thick skin usually sparsely coated with short bristles.	
		FOODON:00003952		Piglet [FOODON:00003952]				An unweaned or immature pig.	
		FOODON:00003373		Weanling (weaner) pig [FOODON:00003373]				A young pig recently separated from the sow	
			Pig (by sex/reproductive stage) (organizational term)						
		FOODON:03411280		Barrow [FOODON:03411280]				A male swine castrated before sexual maturity.	
		FOODON:03412248		Boar [FOODON:03412248]				An adult male swine.	
		FOODON:00003369		Gilt [FOODON:00003369]				A female pig under the age of 1 year. The term is also often used to refer to a pig who has not farrowed, or given birth to a litter.	
		FOODON:00003333		Sow [FOODON:00003333]				An adult female swine.	
		FOODON:03411563	Poultry or game bird [FOODON:03411563]					Domesticated birds kept by humans for their eggs, their meat or their feathers. 	
		FOODON:03411198		Broiler or fryer chicken [FOODON:03411198]				A chicken younger than 10 weeks old (previously younger than 13 weeks), of either sex, that is tender-meated with soft, pliable, smooth-textured skin and flexible breastbone cartilage.	
		FOODON:03411711		Capon [FOODON:03411711]				A surgically neutered male chicken younger than four months old (previously younger than eight months) that is tender-meated with soft, pliable, smooth-textured skin.	
		FOODON:00004299		Chick [FOODON:00004299]				A young offspring of any bird.	
		NCBITaxon:9031		Chicken [NCBITaxon:9031]				"A domesticated junglefowl of the species Gallus gallus.	"	
		UBERON:0007379		Egg [UBERON:0007379]				The hard-shelled reproductive body produced by a bird (especially by the common domestic chicken) or a reptile; also: its contents used as food.	
		FOODON:00004300		Hatchling [FOODON:00004300]				A young animal that has recently emerged from its egg.	
		FOODON:00003282		Hen [FOODON:00003282]				An adult female chicken.	
		FOODON:00004301		Layer chicken [FOODON:00004301]				A type of chicken kept for laying eggs.	
		FOODON:00004302		Layer turkey [FOODON:00004302]				A type of turkey kept for laying eggs.	
		FOODON:00002962		Poult [FOODON:00002962]				A poult is a young domestic chicken, turkey, pheasant, or other fowl being raised for food.	
		FOODON:00004303		Pullet [FOODON:00004303]				A young hen, especially one less than one year old.	
		FOODON:03411714		Rooster [FOODON:03411714]				A mature male chicken with coarse skin, toughened and darkened meat, and hardened breastbone tip.	
		OODON:00004304		Tom (Gobbler) [FOODON:00004304 ]					
		NCBITaxon:9103		Turkey [NCBITaxon:9103]				A large, mainly domesticated game bird characterized by a bald head and wattles (in the male) of the species Meleagris gallopavo.	
		NCBITaxon:9940	Sheep [NCBITaxon:9940]					A domesticated, even-toed, ungluate, ruminant mammal typically kept as livestock for its wool and meat, usually of the species Ovis aries.	
		FOODON:00004305		Ram [FOODON:00004305]				An adult male sheep kept for breeding and for wool production.	
		FOODON:00004306		Wether sheep [FOODON:00004306]				A castrated male sheep.	
		FOODON:03412610		Ewe [FOODON:03412610]				A ewe is a female sheep.	
		FOODON:03411669		Lamb [FOODON:03411669]				A whole lamb or some material processed from a lamb.	
		FOODON:03411222	Fish [FOODON:03411222]					Fish are the gill-bearing aquatic craniate animals that lack limbs with digits. Most fish are ectothermic ("cold-blooded"), allowing their body temperatures to vary as ambient temperatures change, though some of the large active swimmers like white shark and tuna can hold a higher core temperature.	
		FOODON:00004319		Fish egg [FOODON_00004319]				An egg or spawn of a fish that is contained within or separated from the ovary.	
		FOODON:00004318		Fry (fish) [FOODON_00004318]				A fish that is recently hatched and has reached the stage where its yolk-sac has almost disappeared and its swim bladder is operational to the point where the fish can actively feed for itself.	
		FOODON:00004317		Juvenile fish [FOODON_00004317]				A fish that has not reached to sexual maturity.	
									
host_age_unit menu	HostAgeUnitMenu	UO:0000035	month [UO:0000035]					A time unit which is equal to approximately 4-4.5 weeks or 28-31 days.	
		UO:0000036	year [UO:0000036]					A time unit which is equal to 365 days, or 366 days during a leap year.	
									
									
host_age_bin menu	HostAgeBinMenu	GENEPIO:0100684	First winter [GENEPIO:0100684]					An age group used to classify birds identified by their first winter nonbreeding plumage, generally indicating a juvenile bird.	
		GENEPIO:0100685	First summer [GENEPIO:0100685]					An age group used to classify birds identified by their first summer nonbreeding plumage, generally indicating a juvenile bird.	
		GENEPIO:0100686	Second winter [GENEPIO:0100686]					An age group used to classify birds identified by their second winter plumage (many types of birds molt several times during the same season).	
		GENEPIO:0100687	Second summer [GENEPIO:0100687]					An age group used to classify birds identified by their second summer plumage (many types of birds molt several times during the same season).	
		GENEPIO:0100688	Third winter [GENEPIO:0100688]					An age group used to classify birds identified by their third winter plumage (many types of birds molt several times during the same season).	
		GENEPIO:0100689	Third summer [GENEPIO:0100689]					An age group used to classify birds identified by their third summer plumage (many types of birds molt several times during the same season).	
		ENEPIO:0100049	0 - 9 [GENEPIO:0100049]]						
		GENEPIO:0100050	10 - 19 [GENEPIO:0100050]					An age group that stratifies the age of a case to be between 10 to 19 years old (inclusive).	
		GENEPIO:0100051	20 - 29 [GENEPIO:0100051]					An age group that stratifies the age of a case to be between 20 to 29 years old (inclusive).	
		GENEPIO:0100052	30 - 39 [GENEPIO:0100052]					An age group that stratifies the age of a case to be between 30 to 39 years old (inclusive).	
		GENEPIO:0100053	40 - 49 [GENEPIO:0100053]					An age group that stratifies the age of a case to be between 40 to 49 years old (inclusive).	
		GENEPIO:0100054	50 - 59 [GENEPIO:0100054]					An age group that stratifies the age of a case to be between 50 to 59 years old (inclusive).	
		GENEPIO:0100055	60 - 69 [GENEPIO:0100055]					An age group that stratifies the age of a case to be between 60 to 69 years old (inclusive).	
		GENEPIO:0100056	70 - 79 [GENEPIO:0100056]					An age group that stratifies the age of a case to be between 70 to 79 years old (inclusive).	
		GENEPIO:0100057	80 - 89 [GENEPIO:0100057]					An age group that stratifies the age of a case to be between 80 to 89 years old (inclusive).	
		GENEPIO:0100058	90 - 99 [GENEPIO:0100058]					An age group that stratifies the age of a case to be between 90 to 99 years old (inclusive).	
		GENEPIO:0100059	100+ [GENEPIO:0100059]					An age group that stratifies the age of a case to be greater than or equal to 100 years old.	
									
host_gender menu	HostGenderMenu	NCIT:C46110	Female [NCIT:C46110]					An individual who reports belonging to the cultural gender role distinction of female.	
		NCIT:C46109	Male [NCIT:C46109]					An individual who reports belonging to the cultural gender role distinction of male.	
		GSSO:000132	Non-binary gender [GSSO:000132]					Either, a specific gender identity which is not male or female; or, more broadly, an umbrella term for gender identities not considered male or female.	
		GSSO:004004	Transgender (assigned male at birth) [GSSO:004004]					Having a feminine gender (identity) which is different from the sex one was assigned at birth.	
		GSSO:004005	Transgender (assigned female at birth) [GSSO:004005]					Having a masculine gender (identity) which is different from the sex one was assigned at birth.	
		CIT:C110959	Undeclared [NCIT:C110959]						
									
									
									
host_disease menu	HostDiseaseMenu		Highly pathogenic avian influenza A (HPAI)						
									
host_health_state menu	HostHealthStateMenu	NCIT:C3833	Asymptomatic [NCIT:C3833]					Without clinical signs or indications that raise the possibility of a particular disorder or dysfunction.	
		NCIT:C28554	Deceased [NCIT:C28554]					The cessation of life.	
		CIT:C115935	Healthy [NCIT:C115935]						
		NCIT:C49498	Recovered [NCIT:C49498]					One of the possible results of an adverse event outcome that indicates that the event has improved or recuperated.	
		NCIT:C25269	Symptomatic [NCIT:C25269]					Exhibiting the symptoms of a particular disease.	
									
host_health_status_details menu	HostHealthStatusDetailsMenu	NCIT:C25179	Hospitalized [NCIT:C25179]					The condition of being treated as a patient in a hospital.	
		GENEPIO:0100045		Hospitalized (Non-ICU) [GENEPIO:0100045]				The condition of being treated as a patient in a hospital without admission to an intensive care unit (ICU).	
		GENEPIO:0100046		Hospitalized (ICU) [GENEPIO:0100046]				The condition of being treated as a patient in a hospital intensive care unit (ICU).	
		NCIT:C70909	Mechanical Ventilation [NCIT:C70909]						
		GENEPIO:0100047	Medically Isolated [GENEPIO:0100047]					Separation of people with a contagious disease from population to reduce the spread of the disease.	
		GENEPIO:0100048		Medically Isolated (Negative Pressure) [GENEPIO:0100048]				Medical isolation in a negative pressure environment: 6 to 12 air exchanges per hour, and direct exhaust to the outside or through a high efficiency particulate air filter.	
		CIT:C173768	Self-quarantining [NCIT:C173768]						
									
host_health_outcome menu	HostHealthOutcomeMenu	NCIT:C28554	Deceased [NCIT:C28554]					The cessation of life.	
		NCIT:C25254	Deteriorating [NCIT:C25254]					Advancing in extent or severity.	
		NCIT:C49498	Recovered [NCIT:C49498]					One of the possible results of an adverse event outcome that indicates that the event has improved or recuperated.	
		NCIT:C30103	Stable [NCIT:C30103]					Subject to little fluctuation; showing little if any change.	
									
signs_and_symptoms menu	SignsAndSymptomsMenu	HP:0030829	Abnormal lung auscultation [HP:0030829]						
		HP:0033677	Acute Respiratory Distress Syndrome [HP:0033677]						
		HP:0011446	Altered mental status [HP:0011446]						
		HP:0100543		Cognitive impairment [HP:0100543]					
		HP:0001259		Coma [HP:0001259]					
		HP:0001289		Confusion [HP:0001289]					
		HP:0031258			Delirium (sudden severe confusion) [HP:0031258]				
		HP:0011675	Arrhythmia [HP:0011675]						
		HP:0025406	Asthenia (generalized weakness) [HP:0025406]						
		GENEPIO:0101182	Bleeding gums [GENEPIO:0101182]						
		HP:0031352	Chest tightness or pressure [HP:0031352]						
		HP:0025145		Rigors (fever shakes) [HP:0025145]					
		HP:0025143	Chills (sudden cold sensation) [HP:0025143]					A sudden sensation of feeling cold.	
		HP:0000509	Conjunctivitis (pink eye) [HP:0000509]					Inflammation of the conjunctiva.	
		MP:0001867	Coryza (rhinitis) [MP:0001867]						
		HP:0012735	Cough [HP:0012735]					A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation.	
		HP:0031246		Nonproductive cough (dry cough) [HP:0031246]					
		HP:0031245		Productive cough (wet cough) [HP:0031245]					
		DOID:13250	Diarrhea [DOID:13250]						
		HP:0002094	Dyspnea (breathing difficulty) [HP:0002094]						
		HP:0012378	Fatigue (tiredness) [HP:0012378]					A subjective feeling of tiredness characterized by a lack of energy and motivation.	
		HP:0001945	Fever [HP:0001945]					Body temperature elevated above the normal range.	
		GENEPIO:0100066		Fever (>=38°C) [GENEPIO:0100066]					
		HP:0002315	Headache [HP:0002315]					Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve.	
		HP:0012418	Hypoxemia (low blood oxygen) [HP:0012418]						
		GENEPIO:0100068		Silent hypoxemia [GENEPIO:0100068]					
		HP:0033834	Malaise (general discomfort/unease) [HP:0033834]						
		HP:0001324	Muscle weakness [HP:0001324]						
		HP:0001742	Nasal obstruction (stuffy nose) [HP:0001742]						
		HP:0002018	Nausea [HP:0002018]					A sensation of unease in the stomach together with an urge to vomit.	
		HP:0012531	Pain [HP:0012531]						
		HP:0002829		Arthralgia (painful joints) [HP:0002829]					
		HP:0003326		Myalgia (muscle pain) [HP:0003326]				Pain in muscle.	
		HP:0025439	Pharyngitis (sore throat) [HP:0025439]						
		HP:0031417	Rhinorrhea (runny nose) [HP:0031417]						
		HP:0025144	Shivering (involuntary muscle twitching) [HP:0025144]						
		HP:0025095	Sneezing [HP:0025095]						
		HP:0033709	Sputum Production [HP:0033709]						
		HP:0002716	Swollen Lymph Nodes [HP:0002716]					Enlargment (swelling) of a lymph node.	
		HP:0002789	Tachypnea (accelerated respiratory rate) [HP:0002789]						
		HP:0002013	Vomiting (throwing up) [HP:0002013]					Forceful ejection of the contents of the stomach through the mouth by means of a series of involuntary spasmic contractions.	
									
pre-existing_conditions_and_risk_factors menu	PreExistingConditionsAndRiskFactorsMenu	VO:0004925	Age 60+ [VO:0004925]						
		DOID:2355	Anemia [DOID:2355]						
		DOID:2860		Hemoglobinopathy [DOID:2860]					
		HP:0002039	Anorexia [HP:0002039]						
		NCIT:C92743	Birthing labor [NCIT:C92743]						
		NCIT:C80693	Bone marrow failure [NCIT:C80693]						
		MONDO:0004992	Cancer [MONDO:0004992]					A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.	
		MONDO:0007254		Breast cancer [MONDO:0007254]					
		MONDO:0005575		Colorectal cancer [MONDO:0005575]					
		DOID:2531		Hematologic malignancy (cancer of the blood) [DOID:2531]					
		MONDO:0008903		Lung cancer [MONDO:0008903]					
		MONDO:0024880		Metastatic disease [MONDO:0024880]					
		NCIT:C16212	Cancer treatment [NCIT:C16212]					Any intervention for management of a malignant neoplasm.	
		NCIT:C157740		Cancer surgery [NCIT:C157740]					
		NCIT:C15632		Chemotherapy [NCIT:C15632]				The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	
		NCIT:C15360			Adjuvant chemotherapy [NCIT:C15360]				
		NCIT:C3079	Cardiac disorder [NCIT:C3079]						
		HP:0011675		Arrhythmia [HP:0011675]					
		MONDO:0005267		Cardiac disease [MONDO:0005267]					
		HP:0001638		Cardiomyopathy [HP:0001638]					
		GENEPIO:0100074		Cardiac injury [GENEPIO:0100074]					
		HP:0000822		Hypertension (high blood pressure) [HP:0000822]					
		HP:0002615		Hypotension (low blood pressure) [HP:0002615]					
		HP:0011410	Cesarean section [HP:0011410]						
		GENEPIO:0100075	Chronic cough [GENEPIO:0100075]						
		GENEPIO:0100076	Chronic gastrointestinal disease [GENEPIO:0100076]						
		NCIT:C211	Corticosteroids [NCIT:C211]						
		HP:0000819	Diabetes mellitus (diabetes) [HP:0000819]					A group of abnormalities characterized by hyperglycemia and glucose intolerance.	
		HP:0100651		Type I diabetes mellitus (T1D) [HP:0100651]				A chronic condition in which the pancreas produces little or no insulin. Type I diabetes mellitus is manifested by the sudden onset of severe hyperglycemia with rapid progression to diabetic ketoacidosis unless treated with insulin.	
		HP:0005978		Type II diabetes mellitus (T2D) [HP:0005978]				A type of diabetes mellitus initially characterized by insulin resistance and hyperinsulinemia and subsequently by glucose interolerance and hyperglycemia.	
		HP:0000964	Eczema [HP:0000964]						
		HP:0003111	Electrolyte disturbance [HP:0003111]						
		HP:0002901		Hypocalcemia [HP:0002901]					
		HP:0002900		Hypokalemia [HP:0002900]					
		HP:0002917		Hypomagnesemia [HP:0002917]					
		HP:0002383	Encephalitis (brain inflammation) [HP:0002383]						
		MONDO:0005027	Epilepsy [MONDO:0005027]						
		NCIT:C15248	Hemodialysis [NCIT:C15248]						
		MONDO:0044348	Hemoglobinopathy [MONDO:0044348]						
		MONDO:0005109	Human immunodeficiency virus (HIV) [MONDO:0005109]					An infection caused by the human immunodeficiency virus.	
		MONDO:0012268		Acquired immunodeficiency syndrome (AIDS) [MONDO:0012268]				A syndrome resulting from the acquired deficiency of cellular immunity caused by the human immunodeficiency virus (HIV). It is characterized by the reduction of the Helper T-lymphocytes in the peripheral blood and the lymph nodes.	
		NCIT:C16118		HIV and antiretroviral therapy (ART) [NCIT:C16118]				Treatment of human immunodeficiency virus (HIV) infections with medications that target the virus directly, limiting the ability of infected cells to produce new HIV particles.	
		NCIT:C14139	Immunocompromised [NCIT:C14139]					A loss of any arm of immune functions, resulting in potential or actual increase in infections. This state may be reached secondary to specific genetic lesions, syndromes with unidentified or polygenic causes, acquired deficits from other disease states, or as result of therapy for other diseases or conditions.	
		MONDO:0004670		Lupus [MONDO:0004670]				An autoimmune, connective tissue chronic inflammatory disorder affecting the skin, joints, kidneys, lungs, heart, and the peripheral blood cells. It is more commonly seen in women than men. Variants include discoid and systemic lupus erythematosus.	
		MONDO:0005265	Inflammatory bowel disease (IBD) [MONDO:0005265]						
		HP:0002583		Colitis [HP:0002583]					
		HP:0100279			Ulcerative colitis [HP:0100279]				
		HP:0100280		Crohn's disease [HP:0100280]					
		NCIT:C3149	Renal disorder [NCIT:C3149]						
		MONDO:0005240		Renal disease [MONDO:0005240]					
		HP:0012622			Chronic renal disease [HP:0012622]				
		HP:0000083		Renal failure [HP:0000083]					
		MONDO:0005154	Liver disease [MONDO:0005154]						
		NCIT:C113609		Chronic liver disease [NCIT:C113609]					
		HP:0001397			Fatty liver disease (FLD) [HP:0001397]				
		HP:0003326	Myalgia (muscle pain)  [HP:0003326]					Pain in muscle.	
		MONDO:0005404	Myalgic encephalomyelitis (ME) [MONDO:0005404]						
		MONDO:0005071	Neurological disorder [MONDO:0005071]						
		MONDO:0019056		Neuromuscular disorder [MONDO:0019056]					
		HP:0001513	Obesity [HP:0001513]						
		MONDO:0005139		Severe obesity [MONDO:0005139]					
		MONDO:0005087	Respiratory disorder [MONDO:0005087]						
		HP:0002099		Asthma [HP:0002099]					
		HP:0004469		Chronic bronchitis [HP:0004469]					
		HP:0006510		Chronic obstructive pulmonary disease [HP:0006510]					
		HP:0002097		Emphysema [HP:0002097]					
		MONDO:0005275		Lung disease [MONDO:0005275]					
		HP:0006528			Chronic lung disease [HP:0006528]				
		HP:0002206			Pulmonary fibrosis [HP:0002206]				
		HP:0002090		Pneumonia [HP:0002090]					
		HP:0002878		Respiratory failure [HP:0002878]					
		HP:0033677			Adult respiratory distress syndrome [HP:0033677]				
		MONDO:0009971			Newborn respiratory distress syndrome [MONDO:0009971]				
		MONDO:0018076		Tuberculosis [MONDO:0018076]					
		GENEPIO:0100077	Postpartum (≤6 weeks) [GENEPIO:0100077]						
		NCIT:C25742	Pregnancy [NCIT:C25742]					The state or condition of having a developing embryo or fetus in the body (uterus), after union of an ovum and spermatozoon, during the period from conception to birth.	
		DOID:14525	Reye syndrome [DOID:14525]						
		MONDO:0005554	Rheumatic disease [MONDO:0005554]						
		MONDO:0011382	Sickle cell disease [MONDO:0011382]						
		NBO:0001845	Substance use [NBO:0001845]						
		MONDO:0002046		Alcohol abuse [MONDO:0002046]					
		GENEPIO:0100078		Drug abuse [GENEPIO:0100078]					
		GENEPIO:0100079			Injection drug abuse [GENEPIO:0100079]				
		NBO:0015005		Smoking [NBO:0015005]					
		NCIT:C173621		Vaping [NCIT:C173621]					
		HP:0002789	Tachypnea (accelerated respiratory rate) [HP:0002789]						
		CIT:C159659	Transplant [NCIT:C159659]						
		NCIT:C131759		Cardiac transplant [NCIT:C131759]					
		GENEPIO:0100080		Hematopoietic stem cell transplant (bone marrow transplant) [GENEPIO:0100080]					
		NCIT:C157332		Kidney transplant [NCIT:C157332]					
		GENEPIO:0100081		Liver transplant [GENEPIO:0100081]					
									
complications menu	ComplicationsMenu	HP:0500165	Abnormal blood oxygen level [HP:0500165]						
		MONDO:0015796	Acute lung injury [MONDO:0015796]						
		GENEPIO:0100092		Ventilation induced lung injury (VILI) [GENEPIO:0100092]					
		MONDO:0001208	Acute respiratory failure [MONDO:0001208]						
		HP:0011675	Arrhythmia (complication) [HP:0011675]						
		HP:0001649		Tachycardia [HP:0001649]					
		GENEPIO:0100074	Cardiac injury [GENEPIO:0100074]						
		HP:0001695	Cardiac arrest [HP:0001695]						
		HP:0001977	Blood clot [HP:0001977]						
		HP:0004420		Arterial clot [HP:0004420]					
		HP:0002625		Deep vein thrombosis (DVT) [HP:0002625]					
		HP:0002204		Pulmonary embolism (PE) [HP:0002204]					
		HP:0001638	Cardiomyopathy [HP:0001638]						
		MONDO:0024619	Central nervous system invasion [MONDO:0024619]						
		HP:0001297	Stroke (complication) [HP:0001297]						
		MONDO:0003346		Central Nervous System Vasculitis [MONDO:0003346]					
		HP:0002140		Acute ischemic stroke [HP:0002140]					
		HP:0001259	Coma [HP:0001259]						
		HP:0011097	Convulsions [HP:0011097]						
		MONDO:0009061	Cystic fibrosis [MONDO:0009061]						
		MONDO:0600008	Cytokine release syndrome [MONDO:0600008]						
		MPATH:108	Disseminated intravascular coagulation (DIC) [MPATH:108]						
		HP:0001298	Encephalopathy [HP:0001298]						
		GENEPIO:0100088	Fulminant myocarditis [GENEPIO:0100088]						
		MONDO:0016218	Guillain-Barré syndrome [MONDO:0016218]						
		HP:0011029	Internal hemorrhage (complication; internal bleeding) [HP:0011029]						
		MONDO:0013792		Intracerebral haemorrhage [MONDO:0013792]					
		MONDO:0012727	Kawasaki disease [MONDO:0012727]						
		GENEPIO:0100089		Complete Kawasaki disease [GENEPIO:0100089]					
		GENEPIO:0100090		Incomplete Kawasaki disease [GENEPIO:0100090]					
		HP:0001410	Liver dysfunction [HP:0001410]						
		GENEPIO:0100091		Acute liver injury [GENEPIO:0100091]					
		MONDO:0100233	Long COVID-19 [MONDO:0100233]						
		HP:0001287	Meningitis [HP:0001287]						
		HP:0002076	Migraine [HP:0002076]						
		HP:0005268	Miscarriage [HP:0005268]						
		MONDO:0100163	Multisystem inflammatory syndrome in children (MIS-C) [MONDO:0100163]						
		MONDO:0100319	Multisystem inflammatory syndrome in adults (MIS-A) [MONDO:0100319]						
		GENEPIO:0100093	Muscle injury [GENEPIO:0100093]						
		MONDO:0005404	Myalgic encephalomyelitis (chronic fatigue syndrome) [MONDO:0005404]						
		MONDO:0005068	Myocardial infarction (heart attack) [MONDO:0005068]						
		HP:0001700	Myocardial injury [HP:0001700]						
		CIT:C168498	Neonatal complications [NCIT:C168498]						
		GENEPIO:0100085	Noncardiogenic pulmonary edema [GENEPIO:0100085]						
		HP:0033677		Acute respiratory distress syndrome (ARDS) [HP:0033677]					
		GENEPIO:0100094	Organ failure [GENEPIO:0100094]						
		HP:0003470	Paralysis [HP:0003470]						
		HP:0002107	Pneumothorax (collapsed lung) [HP:0002107]						
		HP:0002090	Pneumonia (complication) [HP:0002090]						
		HP:0001197	Pregancy complications [HP:0001197]						
		HP:0003201	Rhabdomyolysis [HP:0003201]						
		IDO:0000567	Secondary infection [IDO:0000567]					An infection bearing the secondary infection role.	
		HP:0001250	Seizure (complication) [HP:0001250]						
		HP:0100806	Sepsis/Septicemia [HP:0100806]					Systemic inflammatory response to infection.	
		IDO:0000636		Sepsis (systemic inflammatory response to infection) [IDO:0000636]					
		NCIT:C3364		Septicemia (bloodstream infection) [NCIT:C3364]					
		HP:0031273	Shock [HP:0031273]						
		GENEPIO:0100097		Hyperinflammatory shock [GENEPIO:0100097]					
		NCIT:C35018		Septic shock [NCIT:C35018]					
		HP:0002633	Vasculitis [HP:0002633]						
									
exposure_event menu	ExposureEventMenu	GENEPIO:0100237	Mass Gathering [GENEPIO:0100237]					A gathering or event attended by a sufficient number of people to strain the planning and response resources of the host community, state/province, nation, or region where it is being held.	
		GENEPIO:0100238		Convention [GENEPIO:0100238]				A gathering of individuals who meet at an arranged place and time in order to discuss or engage in some common interest. The most common conventions are based upon industry, profession, and fandom.	
