label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
samp_salinity	core field	xs:token		Salinity is the total concentration of all dissolved salts in a liquid or solid (in the form of an extract obtained by centrifugation) sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	1 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 11 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, plant-associated, wastewater_sludge	MIXS:0000109					
samp_store_dur	core field	xs:token		Duration for which the sample was stored	P1Y6M	Expected value: duration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000116					
samp_store_loc	core field	xs:token		Location at which sample was stored, usually name of a specific freezer/room	Freezer no:5	Expected value: location name. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000755					
samp_store_temp	core field	xs:token	required	Temperature at which sample was stored, e.g. -80 degree Celsius	-80 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000110					
season_environment	core field	xs:token		Treatment involving an exposure to a particular season (e.g. Winter, summer, rabi, rainy etc.), treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment	rainy;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: seasonal environment name;treatment interval and duration. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001068					
standing_water_regm	core field	xs:token		Treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	standing water;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: standing water type;treatment interval and duration. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001069					
temp	environment field	xs:token		Temperature of the sample at the time of sampling.	25 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Position: 40.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000113					
tiss_cult_growth_med	core field	xs:token		Description of plant tissue culture growth media used	https://link.springer.com/content/pdf/10.1007/BF02796489.pdf	Expected value: PMID,DOI,url or free text. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001070					
water_temp_regm	core field	xs:token		Information about treatment involving an exposure to water with varying degree of temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	15 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: measurement value;treatment interval and duration. Preferred unit: degree Celsius. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000590					
watering_regm	core field	xs:token		Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	1 liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: measurement value;treatment interval and duration. Preferred unit: milliliter, liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000591					
wild	biol_stat											
natural	biol_stat											
semi-natural	biol_stat											
inbred line	biol_stat											
breeder's line	biol_stat											
hybrid	biol_stat											
clonal selection	biol_stat											
mutant	biol_stat											
erect	growth_habit											
semi-erect	growth_habit											
spreading	growth_habit											
prostrate	growth_habit											
ATP	organism_count											
MPN	organism_count											
other	organism_count											
aerobic	oxy_stat_samp											
anaerobic	oxy_stat_samp											
other	oxy_stat_samp											
other artificial liquid medium	plant_growth_med											
other artificial solid medium	plant_growth_med											
peat moss	plant_growth_med											
perlite	plant_growth_med											
pumice	plant_growth_med											
sand	plant_growth_med											
soil	plant_growth_med											
vermiculite	plant_growth_med											
water	plant_growth_med											
Androdioecious	plant_sex											
Androecious	plant_sex											
Androgynous	plant_sex											
Androgynomonoecious	plant_sex											
Andromonoecious	plant_sex											
Bisexual	plant_sex											
Dichogamous	plant_sex											
Diclinous	plant_sex											
Dioecious	plant_sex											
Gynodioecious	plant_sex											
Gynoecious	plant_sex											
Gynomonoecious	plant_sex											
Hermaphroditic	plant_sex											
Imperfect	plant_sex											
Monoclinous	plant_sex											
Monoecious	plant_sex											
Perfect	plant_sex											
Polygamodioecious	plant_sex											
Polygamomonoecious	plant_sex											
Polygamous	plant_sex											
Protandrous	plant_sex											
Protogynous	plant_sex											
Subandroecious	plant_sex											
Subdioecious	plant_sex											
Subgynoecious	plant_sex											
Synoecious	plant_sex											
Trimonoecious	plant_sex											
Trioecious	plant_sex											
Unisexual	plant_sex											
active surveillance in response to an outbreak	samp_capt_status											
active surveillance not initiated by an outbreak	samp_capt_status											
farm sample	samp_capt_status											
market sample	samp_capt_status											
other	samp_capt_status											
dissemination	samp_dis_stage											
growth and reproduction	samp_dis_stage											
infection	samp_dis_stage											
inoculation	samp_dis_stage											
penetration	samp_dis_stage											
other	samp_dis_stage											
