title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		FOODON:03420102			Germinated or sprouted seed [FOODON:03420102]			A seed which has germinated and put out shoots.						
		FOODON:00002670				Alfalfa sprout [FOODON:00002670]		A sprout from an alfalfa seed.						
		FOODON:00002576				Bean sprout [FOODON:00002576]		A bean sprout is a germinated bean to be eaten raw or cooked						
		FOODON:03000180				Chia sprout [FOODON:03000180]		A sprouted chia seed.						
		FOODON:03000182				Mixed sprouts [FOODON:03000182]		A food product made from more than one sprouted seed.						
		FOODON:03301446				Mung bean sprout [FOODON:03301446]		A germinated or sprouted seed of a mung bean plant (Vigna radiata).						
		FOODON:00002318		Tomato (whole or pieces) [FOODON:00002318]				A whole tomato or some substance made from a processed tomato.						
		FOODON:03315308		Vegetable (whole or parts) [FOODON:03315308]				A whole vegetable or some substance made from a processed vegetable.						
		FOODON:00001242	Spice or herb [FOODON:00001242]					A vegetable product such as leaves, flowers, seeds and roots that is rich in essential oils and aromatic principles. Used mainly a a condiment.						
		FOODON:03000233		Basil (whole or parts) [FOODON:03000233]				Whole basil or some substance made from processed basil.						
		FOODON:03000242		Black pepper (whole or parts) [FOODON:03000242]				A whole black pepper or some substance made from processed black pepper.						
		FOODON:03000246		Cardamom (whole or parts) [FOODON:03000246]				A whole cardamom or some substance made from a processed cardamom.						
		FOODON:03000240		Chive leaf (whole or parts) [FOODON:03000240]				A whole chive leaf or some substance made from a processed chive leaf.						
		FOODON:00004274		Coriander powder [FOODON:00004274]				A powder that is prepared by grinding coriander seeds.						
		FOODON:03000224		Coriander seed (whole or parts) [FOODON:03000224]				A whole coriander seed or some substance made from a processed coriander seed.						
		FOODON:00004275		Cumin powder [FOODON:00004275]				A powder that is prepared by grinding cumin seeds.						
		FOODON:00003396		Cumin seed (whole) [FOODON:00003396]				A seed of a cumin plant (Cuminum cyminum).						
		FOODON:03000247			Black cumin seed (whole or parts) [FOODON:03000247]			Whole black cumin seed or some substance made from a processed black cumin seed.						
		FOODON:03000225		Curry leaf (whole or parts) [FOODON:03000225]				A whole curry leaf or some substance made from a processed curry leaf.						
		FOODON:03301842		Curry powder [FOODON:03301842]				A mixture of finely ground spices, such as turmeric, ginger, and coriander, used for making curry.						
		FOODON:00004307		Dill spice [FOODON:00004307]				The aromatic foliage and seeds of dill (usually Anethum graveolens) which are used in flavoring foods and especially pickles.						
		FOODON:03000244		Fennel (whole or parts) [FOODON:03000244]				Whole fennel or some substance made from processed fennel.						
		FOODON:03301844		Garlic powder [FOODON:03301844]				A spice derived from grounding dehydrated garlic into a powder.						
		FOODON:03000220		Ginger root (whole or parts) [FOODON:03000220]				A whole ginger root or some substance made from a processed ginger root.						
		FOODON:03000238		Mint leaf (whole or parts) [FOODON:03000238]				A whole mint leaf or some substance made from a processed mint leaf.						
		FOODON:03000226		Oregano (whole or parts) [FOODON:03000226]				A whole oregano leaf or some substance made from a processed oregano leaf.						
		FOODON:03301223		Paprika (ground) [FOODON:03301223]				A powdered spice with a deep orange-red color and a mildly pungent flavor, made from the dried and ground fruits of certain varieties of pepper.						
		FOODON:03000231		Parsley leaf (whole or parts) [FOODON:03000231]				A whole parsley leaf or some substance made from a processed parsley leaf.						
		FOODON:03301526		Pepper (ground) [FOODON:03301526]				A spice derived from grounding dried peppercorns usually obtained from the flowering vine of the species Piper nigrum.						
		FOODON:00004277		Rasam powder [FOODON:00004277]				A traditional south Indian condiment made with roasted lentils, whole spices and fresh herbs.						
		FOODON:03301560		Sage [FOODON:03301560]				A leaf of a sage plant (Salvia officinalis).						
		FOODON:03310841		Turmeric (ground) [FOODON:03310841]				A spice that is bright yellow in colour spice that is made by grounding the dried root of the ginger plant Curcuma longa.						
		FOODON:03303380		Spice [FOODON:03303380]				An aromatic or pungent vegetable substance used to flavor food, e.g. cloves, pepper, or cumin.						
		FOODON:03000251		White peppercorn (whole or parts) [FOODON:03000251]				A whole white peppercorn or some substance made from a processed white peppercorn.						
														
food_product_properties menu	FoodProductPropertiesMenu	FOODON:00002418	Food (canned) [FOODON:00002418]					A food material stored in a metal can.						
		FOODON:00001181	Food (cooked) [FOODON:00001181]					A food material that has been prepared by heating.						
		FOODON:00004291 	Food (cut) [FOODON:00004291]					A food state quality in which the food has undergone a process of being cut into smaller pieces, chunks or slices.						
		FOODON:00002777		Food (chopped) [FOODON:00002777]				Food material chopped into roughly bite-sized pieces.						
		FOODON:00004555		Food (chunks) [FOODON:00004555]				Solid food that has been cut into short, thick pieces.						
		FOODON:00004278		Food (cubed) [FOODON:00004278]				Solid food that is divided into uniformly box-shaped pieces with all sides equal.						
		FOODON:00004549		Food (diced) [FOODON:00004549]				Solid food that has been cut into small cubes using a dicing culinary technique.						
		FOODON:00004552		Food (grated) [FOODON:00004552]				Solid food that has been scrated across a grater to create small pieces.						
		FOODON:00002455		Food (sliced) [FOODON:00002455]				Solid food that is divided into uniformly thin pieces.						
		FOODON:00004553		Food (shredded) [FOODON:00004553]				Solid food that has been scraped across or through a shredding surface to make strips.						
		FOODON:03307539	Food (dried) [FOODON:03307539]					A food material preserved by the process of dehydration or drying.						
		FOODON:00002457	Food (fresh) [FOODON:00002457]					Fresh food is food that has not been subjected to food preservation processes (including freezing) that alter its harvested state significantly.						
		FOODON:03302148	Food (frozen) [FOODON:03302148]					A food material stored below its freezing point.						
		FOODON:00004554	Food (pulped) [FOODON:00004554]					Solid food that has softened by pressure and any resulting liquid has been removed.						
		FOODON:03311126	Food (raw) [FOODON:03311126]					A food material that has not been cooked.						
		FOODON:00004287	Food (unseasoned) [FOODON:00004287]					A food product which does not have any seasoning applied to it.						
		FOODON:00004321	Italian-style food product [FOODON:00004321]					A food product which is prepared in an Italian cooking style. 						
		FOODON:00003467	Meat (boneless) [FOODON:00003467]					A piece of animal meat that is boneless.						
		FOODON:00003468	Meat (skinless) [FOODON:00003468]					A piece of animal meat that is skinless.						
		FOODON:02010116	Meat (with bone) [FOODON:02010116]					A piece of animal meat that contains bone material.						
		FOODON:02010111	Meat (with skin) [FOODON:02010111]					A piece of animal meat that contains skin.						
		PATO:0000387	Soft [PATO:0000387]					A hardness quality of giving little resistance to pressure.						
														
collection_device menu	CollectionDeviceMenu	AGRO:00000405	Auger (earth auger) [AGRO:00000405]					Manually operated hand tool that consists of cutter head having semicircular blades connected to pipe with the help of clamp and flange. The connecting pipe is further connected to a handle.						
		GENEPIO:0100928	Box corer [GENEPIO:0100928]					A specimen collection device that is used to collect soft sediments in lakes or oceans.						
		OBI:0000967	Container [OBI:0000967]					A device that can be used to restrict the location of material entities over time.						
		GSSO:008558		Bag [GSSO:008558]				A sac or pouch.						
		GENEPIO:0002122			Whirlpak sampling bag [GENEPIO:0002122]			A sterilized sampling bag that is puncture proof tabs for protection from damage due to wire-end protrusion and leak-proof closures.						
		FOODON:03490214		Bottle [FOODON:03490214]				A rigid or semirigid container typically of glass or plastic having a comparatively narrow neck or mouth and usually no handle.						
		OBI:0000522		Vial [OBI:0000522]				A container made from solid material and primarily used for holding liquid.						
		GENEPIO:0004318	Culture plate [GENEPIO:0004318]					A low flat-bottomed laboratory container for growing a layer of organisms such as bacteria, molds, and cells on a thin layer of nutrient medium.						
		NCIT:C96141		Petri dish [NCIT:C96141]				A shallow dish with a lid used to culture cells.						
		GENEPIO:0100103	Filter [GENEPIO:0100103]					A manufactured product which separates solids from fluids by adding a medium through which only a fluid can pass.						
		GENEPIO:0100929	PONAR grab sampler [GENEPIO:0100929]					A specimen collection device that is designed to collect sediment samples from the hard bottoms of a body of water i.e. sand, gravel, consolidated marl or clay."						
		GENEPIO:0002125	Scoop [GENEPIO:0002125]					A shovel-like utensil that has a deep curved dish and a short handle and is used for digging into a soft substance for lifting out a portion.						
		GENEPIO:0100930	Soil sample probe [GENEPIO:0100930]					A specimen collection device designed to penetrate soil with a hollow tube to collect soil sample cores.						
		NCIT:C149941	Spatula [NCIT:C149941]					Administration device with a flattened side used for the application of semi-solid pharmaceutical forms. 						
		OBI:0002819	Sponge [OBI:0002819]					A sample collection device consisting of a soft flexible, absorbent pad usually made from natural material such as gauze or cotton, used to absorb specimen fluid or particulate matter.						
		GENEPIO:0100027		Swab [GENEPIO:0100027]				A device which is a soft, absorbent material mounted on one or both ends of a stick.						
		OBI:0002822			Drag swab [OBI:0002822]			A specimen collection device consisting of a specimen pad made of sterile gauze which is aseptically attached to a pole by clips or to a string						
		OBI:0002824			Surface wipe [OBI:0002824]			A sample collection device consisting of a thin, less absorbent sheet, used to collect material from surfaces.						
		GENEPIO:0101196	Tube [GENEPIO:0101196]					A sample collection device which is cylindrical shape that is open at one end, used to collect material. 						
		GENEPIO:0002127	Vacuum device [GENEPIO:0002127]					A device which generates a vacuum to provide suction of material.						
		OBIB:0000032		Vacutainer [OBIB:0000032]				A test tube which is either a sterile glass or plastic tube with a closure that is evacuated to create a vacuum inside the tube facilitating the draw of a predetermined volume of liquid. Most commonly used to draw a blood sample directly from the vein, these also are used to collect urine samples. Vacutainer tube may contain additives designed to stabilize and preserve the specimen prior to analytical testing.						
														
collection_method menu	CollectionMethodMenu	HP:0002835	Aspiration [HP:0002835]					Inspiration of a foreign object into the airway.						
		OBI:0002650	Biopsy [OBI:0002650]					A specimen collection that obtains a sample of tissue or cell from a living multicellular organism body for diagnostic purposes by means intended to be minimally invasive.						
		GENEPIO:0004326	Fecal grab [GENEPIO:0004326]					A fecal specimen collection method in which feces is obtained by inserting the collection device into the anus of the host, or the feces is captured as it is excreted.						
		OBI:0302885	Filtration [OBI:0302885]					Filtration is a process which separates components suspended in a fluid based on granularity properties relying on a filter device						
		GENEPIO:0100031		Air filtration [GENEPIO:0100031]				A filtration process which removes solid particulates from the air via an air filtration device.						
		GENEPIO:0100931		Water filtration [GENEPIO:0100931]				A filtration process which removes or reduces the concentration of particulate matter, including suspended particles, parasites, bacteria, algae, viruses, and fungi, as well as other undesirable chemical and biological contaminants from contaminated water using water filters to produce safe and clean water.						
		OBI:0600044	Lavage [OBI:0600044]					A protocol application to separate cells and/or cellular secretions from an anatomical space by the introduction and removal of fluid						
		GENEPIO:0100032		Bronchoalveolar lavage [GENEPIO:0100032]				The collection of bronchoalveolar lavage fluid (BAL) from the lungs.						
		GENEPIO:0100033		Gastric lavage [GENEPIO:0100033]				The administration and evacuation of small volumes of liquid through an orogastric tube to remove toxic substances within the stomach.						
		MMO:0000344	Necropsy [MMO:0000344]					A postmortem examination of the body of an animal to determine the cause of death or the character and extent of changes produced by disease.						
		NCIT:C28221	Phlebotomy [NCIT:C28221]					The collection of blood from a vein, most commonly via needle venipuncture. 						
		GENEPIO:0002116	Rinsing for specimen collection [GENEPIO:0002116]					The process of removal and collection of specimen material from the surface of an entity by washing, or a similar application of fluids.						
		GENEPIO:0100932	Scooping [GENEPIO:0100932]					A specimen collection process that is used to dig out an amount of sample using a scoop.						
		GENEPIO:0100933	Sediment collection [GENEPIO:0100933]					A specimen collection process that is used to collect a sediment sample.						
		GENEPIO:0100934	Soil coring [GENEPIO:0100934]					A specimen collection process that is used to collect soil sample cores.						
		GENEPIO:0101003	Weep fluid collection (pouring) [GENEPIO:0101003]					A specimen collection process that is used to collect weep fluid via pouring from the source container into the sample collection device. (e.g. bag or tube)						
														
host_(common_name) menu	HostCommonNameMenu	NCBITaxon:8782	Bird [NCBITaxon:8782]					A group of warm-blooded vertebrates in class Aves, that are characterized by feathers, wings, toothless beaked jaws and the laying of hard-shelled eggs and are usually able to fly.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9031		Chicken [NCBITaxon:9031]				A domesticated junglefowl of the species Gallus gallus.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		FOODON:00004504		Seabird [FOODON:00004504]				A bird that is adapted to live within the marine environment. 						
		NCBITaxon:9206			Cormorant [NCBITaxon:9206]			A family of aquatic birds (Phalacrocoracidae).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:56069				Double Crested Cormorant [NCBITaxon:56069]		A species of the cormorant family of water birds (Phalacrocorax auritus).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9109			Crane [NCBITaxon:9109]			A family of large, long-legged, and long-necked birds (Gruidae).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9117				Whooping Crane [NCBITaxon:9117]		An endangered crane species that is native to North America and is named for its whooping sound.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8911			Gull (Seagull) [NCBITaxon:8911]			A large genus of gulls within the family Laridae.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:119606				Glaucous-winged Gull [NCBITaxon:119606]		A species of large, white-headed gull (Larus glaucescens).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8912				Great Black-backed Gull [NCBITaxon:8912]		A species of white gull that has a black back and wings (Larus marinus).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:35669				Herring Gull [NCBITaxon:35669]		A species of large gull, that is up to 66 cm (26 in) long (Larus argentatus).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:126683				Ring-billed Gull [NCBITaxon:126683]		A species of ring-billed gull that has a black ring around its bill (Larus delawarensis).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:50366			Eider [NCBITaxon:50366]			A genus of large seaducks (Somateria).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:76058				Common Eider [NCBITaxon:76058]		A species of a large sea-duck that is distributed over the northern coasts of Europe, North America and eastern Siberia (Somateria mollissima).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9103		Turkey [NCBITaxon:9103]				A large, mainly domesticated game bird characterized by a bald head and wattles (in the male) of the species Meleagris gallopavo.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		FOODON:03411222	Fish [FOODON:03411222]					Fish are the gill-bearing aquatic craniate animals that lack limbs with digits. Most fish are ectothermic ("cold-blooded"), allowing their body temperatures to vary as ambient temperatures change, though some of the large active swimmers like white shark and tuna can hold a higher core temperature.						
		NCBITaxon:8022		Rainbow Trout [NCBITaxon:8022]				A species of trout native to cold-water tributaries of the Pacific Ocean in Asia and North America (Oncorhynchus mykiss).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:229290		Sablefish [NCBITaxon:229290]				One of two members of the fish family Anoplopomatidae and the only species in the genus Anoplopoma.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		FOODON:00003473		Salmon [FOODON:00003473]				A group of euryhaline ray-finned fish from the family Salmonidae, which are native to tributaries of the North Atlantic (genus Salmo) and North Pacific (genus Oncorhynchus) basin.						
		NCBITaxon:8030			Atlantic Salmon [NCBITaxon:8030]			A species of ray-finned fish in the family Salmonidae (Salmo salar).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8019			Chinook salmon [NCBITaxon:74940]			A species of pacific salmon in North America, that is commonly called as coho salmon.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:74940			Coho Salmon [NCBITaxon:8019]			 The largest species of pacific salmon in North America (Oncorhynchus tshawytscha).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		FOODON:03411134	Mammal [FOODON:03411134]					Mammals (from Latin mamma "breast") are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding (nursing) their young, a neocortex (a region of the brain), fur or hair, and three middle ear bones.						
		FOODON:03000300		Companion animal [FOODON:03000300]				An animal that is kept as a companion. 						
		NCBITaxon:9913		Cow [NCBITaxon:9913]				A large, domesticated, cloven-hooved, herbivore of the species Bos taurus.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9606		Human [NCBITaxon:9606]				A bipedal primate mammal of the species Homo sapiens.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9823		Pig [NCBITaxon:9823]				A stout-bodied, hooved and short-legged, omnivorous mammal from the species Sus scofus, with thick skin usually sparsely coated with short bristles.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9940		Sheep [NCBITaxon:9940]				A domesticated, even-toed, ungluate, ruminant mammal typically kept as livestock for its wool and meat, usually of the species Ovis aries.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		FOODON:03411433	Shellfish [FOODON:03411433]					The term shellfish is used both broadly and specifically. For regulatory purposes it is often narrowly defined as filter-feeding molluscs such as clams, mussels, and oyster to the exclusion of crustaceans and all else. Although their shells may differ, all shellfish are invertebrates.						
		NCBITaxon:6706		Atlantic Lobster [NCBITaxon:6706]				A species of lobster that is found on the Atlantic coast of North America (Homarus americanus).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:6565		Atlantic Oyster [NCBITaxon:6565]				A species of true oyster (Crassostrea virginica).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:6550		Blue Mussel [NCBITaxon:6550]				A medium-sized edible marine bivalve mollusc in the family Mytilidae, the mussels.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
														
host_(scientific_name) menu	HostScientificNameMenu	NCBITaxon:229290	Anoplopoma fimbria [NCBITaxon:229290]					The only species of the fish genus Anoplopoma.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9913	Bos taurus [NCBITaxon:9913]					A large, domesticated, cloven-hooved, herbivore raised for its milk, meat and hide.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:6565	Crassostrea virginica [NCBITaxon:6565]					A species of true oyster that is commonly called as an eastern oyster.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9031	Gallus gallus [NCBITaxon:9031]					A domesticated junglefowl raised for its eggs, feathers and meat.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9117	Grus americana [NCBITaxon:9117]					An endangered crane species that is native to North America and is named for its whooping sound. It is commonly called as a whopping crane.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:6706	Homarus americanus [NCBITaxon:6706]					A species of lobster that is found on the Atlantic coast of North America and is commonly called as American lobster.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9606	Homo sapiens [NCBITaxon:9606]					A type of primate characterized by bipedalism and large, complex brain.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:35669	Larus argentatus [NCBITaxon:35669]					A species of large gull, that is up to 66 cm (26 in) long and is commonly called as herring gull.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:126683	Larus delawarensis [NCBITaxon:126683]					A species of ring-billed gull that has a black ring around its bill and is commonly called as ring-billed gull.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:119606	Larus glaucescens [NCBITaxon:119606]					A species of large, white-headed gull.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8912	Larus marinus [NCBITaxon:8912]					A species of white gull that has a black back and wings..	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9103	Meleagris gallopavo [NCBITaxon:9103]					A large, mainly domesticated game bird characterized by a bald head and wattles (in the male).	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:6550	Mytilus edulis [NCBITaxon:6550]					A medium-sized edible marine bivalve mollusc in the family Mytilidae, the mussels.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8019	Oncorhynchus kisutch [NCBITaxon:8019]					 A species of pacific salmon in North America, that is commonly called as coho salmon.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8022	Oncorhynchus mykiss [NCBITaxon:8022]					A species of trout that is native to cold-water tributaries of the pacific ocean in Asia and North America. It is commonly called as rainbow trout.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:74940	Oncorhynchus tshawytscha [NCBITaxon:74940]					 The largest species of pacific salmon in North America, that is commonly called as chinook salmon.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9940	Ovis aries [NCBITaxon:9940]					A domesticated, even-toed, ungluate, ruminant mammal typically kept as livestock for its wool and meat.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:56069	Phalacrocorax auritus [NCBITaxon:56069]					A species of the cormorant family of water birds that is commonly called as double-crested cormorant.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:8030	Salmo salar [NCBITaxon:8030]					A species of ray-finned fish in the family Salmonidae that is commonly called as atlantic salmon.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:76058	Somateria mollissima [NCBITaxon:76058]					A species of large sea duck that is distributed over the northern coasts of Europe, North America and eastern Siberia. It is also called as common eider.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:9825	Sus scrofa domesticus [NCBITaxon:9825]					A stout-bodied, hooved and short-legged, omnivorous mammal, with thick skin usually sparsely coated with short bristles raised for its meat.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
														
														
host_age_unit menu	HostAgeUnitMenu	UO:0000035	month [UO:0000035]					A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days.						Mpox
		UO:0000036	year [UO:0000036]					A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days.						
														
host_gender_international menu	HostGenderInternationalMenu	NCIT:C46110	Female [NCIT:C46110]					An individual who reports belonging to the cultural gender role distinction of female.						Mpox_international
		NCIT:C46109	Male [NCIT:C46109]					An individual who reports belonging to the cultural gender role distinction of male.						
		GSSO:000132	Non-binary gender [GSSO:000132]					Either, a specific gender identity which is not male or female; or, more broadly, an umbrella term for gender identities not considered male or female.						
		GSSO:004004	Transgender (assigned male at birth) [GSSO:004004]					Having a feminine gender (identity) which is different from the sex one was assigned at birth.						
		GSSO:004005	Transgender (assigned female at birth) [GSSO:004005]					Having a masculine gender (identity) which is different from the sex one was assigned at birth.						
		NCIT:C110959	Undeclared [NCIT:C110959]					A categorical choice recorded when an individual being interviewed is unable or chooses not to provide a datum.						
														
														
organism menu	OrganismMenu	NCBITaxon:469	Acinetobacter [NCBITaxon:469]					A Moraxellaceae genus of gram-negative bacteria belonging to the wider class of Gammaproteobacteria. Acinetobacter species are oxidase-negative, exhibit twitching motility,and occur in pairs under magnification. [https://en.wikipedia.org/wiki/Acinetobacter]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:470		Acinetobacter baumannii [NCBITaxon:470]				An Acinetobacter species which is typically short, almost round, rod-shaped (coccobacillus) Gram-negative bacterium. [https://en.wikipedia.org/wiki/Acinetobacter_baumannii]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:106648		Acinetobacter bereziniae [NCBITaxon:106648]				An Acinetobacter species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:108980		Acinetobacter ursingii [NCBITaxon:108980]				An Acinetobacter species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:642	Aeromonas [NCBITaxon:642]					An Aeromonadaceae genus of Gram-negative, facultative anaerobic, rod-shaped bacteria that morphologically resemble members of the family Enterobacteriaceae. [https://en.wikipedia.org/wiki/Aeromonas]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:656		Aeromonas allosaccharophila [NCBITaxon:656]				An Aeromonas species which is a Gram-negative, catalase-positive, motile bacterium from the genus Aeromonas which was isolated from ill elvers (Anguilla anguilla) in Valencia, Spain. [https://en.wikipedia.org/wiki/Aeromonas_allosaccharophila]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:644		Aeromonas hydrophila [NCBITaxon:644]				An Aeromonas species which is a heterotrophic, Gram-negative, rod-shaped bacterium mainly found in areas with a warm climate. [https://en.wikipedia.org/wiki/Aeromonas_hydrophila]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:948519		Aeromonas rivipollensis [NCBITaxon:948519]				A species of facultatively anaerobic, Gram-negative, rod-shaped bacteria assigned to the genus Aeromonas. This bacteria is motile and has been isolated from river sediments from the Ter River in Spain. [https://en.wikipedia.org/wiki/Aeromonas_rivipollensis]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:645		Aeromonas salmonicida [NCBITaxon:645]				A species of facultatively anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This bacteria is non motile, capable of both aerobic and anaerobic respiration, ferments glucose and is generally oxidase positive. A. solmonicida is found in freshwater and marine environments and causes furunculosis in fish and bald sea urchin disease. [http://purl.obolibrary.org/obo/NCIT_C861288]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:194	Campylobacter [NCBITaxon:194]					A genus of gram-negative, microaerophilic, spiral bacteria. They are motile, with either uni- or bi-polar flagella and are oxidase-positive. Several species of Campylobacter have been implicated in human disease. [http://purl.obolibrary.org/obo/NCIT_C76211]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:195		Campylobacter coli [NCBITaxon:195]				A species of microaerophilic, Gram-negative, curved or spiral bacilli assigned to the phylum Proteobacteria. This species is motile with a single flagellum at each pole, non-spore forming, oxidase positive, and does not hydrolyze hippurate. C. coli is commensal in pigs, associated with indigenously acquired food borne disease, and recognized as the second most common pathogen for human campylobacteriosis. [http://purl.obolibrary.org/obo/NCIT_C86230]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:197		Campylobacter jejuni [NCBITaxon:197]				A Campylobacter species which is a helical-shaped, non-spore-forming, Gram-negative, microaerophilic, nonfermenting motile bacterium with a single flagellum at one or both poles, which are also oxidase-positive, grow optimally at 37 to 42 °C, and is among the most common causes of bacterial infections in humans worldwide. [https://en.wikipedia.org/wiki/Campylobacter_jejuni]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:201		Campylobacter lari [NCBITaxon:201]				A species of microaerophilic, Gram-negative, curved or spiral bacilli assigned to the phylum Proteobacteria. This species is motile using a single flagellum at each pole, non-spore forming, oxidase positive, catalase positive, reduces nitrate, produces hydrogen sulfide, and does not hydrolyze hippurate nor ferment glucose. C. lari is associated in recurrent gastroenteritis in children, causes septicemia and enteritis in immunodeficient patients and is commensal in healthy seagulls, birds, mussels and oysters. [http://purl.obolibrary.org/obo/NCIT_C86236]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:544	Citrobacter [NCBITaxon:544]					An Enterobacteriaceae genus which is a Gram-negative coliform bacteria belonging to the wider class of Gammaproteobacteria. [https://en.wikipedia.org/wiki/Citrobacter]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:57706		Citrobacter braakii [NCBITaxon:57706]				A Citrobacter species which is a Gram-negative species of bacteria. It has been reported to cause sepsis in an immunocompromised person. [https://en.wikipedia.org/wiki/Citrobacter_braakii]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:546		Citrobacter freundii [NCBITaxon:546]				A Citrobacter species which is a Gram-negative species of bacteria. They have a rod shape with a typical length of 1–5 μm, most have several locomotive flagella, and is a soil-dwelling microorganism but can also be found in other environments (water, sewage, food, and the intestinal tracts of animals and humans). [https://en.wikipedia.org/wiki/Citrobacter_freundii]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:67828		Citrobacter gillenii [NCBITaxon:67828]				 A species of Gram-negative bacteria. [https://en.wikipedia.org/wiki/Citrobacter_gillenii]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1870884	Clostridioides [NCBITaxon:1870884]					A genus of gram-positive bacteria.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
