Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE
	Bioinformatics and QC metrics	depth of coverage threshold	xs:token							The threshold used as a cut-off for the depth of coverage.	Provide the threshold fold coverage.	100x				
	Bioinformatics and QC metrics	r1 fastq filename        	xs:token			recommended				The user-specified filename of the r1 FASTQ file.	Provide the r1 FASTQ filename.	ABC123_S1_L001_R1_001.fastq.gz				
	Bioinformatics and QC metrics	r2 fastq filename	xs:token			recommended				The user-specified filename of the r2 FASTQ file.	Provide the r2 FASTQ filename.	ABC123_S1_L001_R2_001.fastq.gz				
	Bioinformatics and QC metrics	r1 fastq filepath	xs:token							The location of the r1 FASTQ file within a user's file system.	Provide the filepath for the r1 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R1_001.fastq.gz				
	Bioinformatics and QC metrics	r2 fastq filepath	xs:token							The location of the r2 FASTQ file within a user's file system.	Provide the filepath for the r2 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R2_001.fastq.gz				
	Bioinformatics and QC metrics	fast5 filename	xs:token							The user-specified filename of the FAST5 file.	Provide the FAST5 filename.	rona123assembly.fast5				
	Bioinformatics and QC metrics	fast5 filepath	xs:token							The location of the FAST5 file within a user's file system.	Provide the filepath for the FAST5 file. This information aids in data management. 	/User/Documents/RespLab/Data/rona123assembly.fast5				
	Bioinformatics and QC metrics	number of base pairs sequenced	xs:nonNegativeInteger							The number of total base pairs generated by the sequencing process.	Provide a numerical value (no need to include units).	387566				
	Bioinformatics and QC metrics	consensus genome length	xs:nonNegativeInteger							Size of the reconstructed genome described as the number of base pairs.	Provide a numerical value (no need to include units).	38677				
	Bioinformatics and QC metrics	Ns per 100 kbp	xs:decimal				0			The number of N symbols present in the consensus fasta sequence, per 100kbp of sequence.	Provide a numerical value (no need to include units).	330				
	Bioinformatics and QC metrics	reference genome accession	xs:token							A persistent, unique identifier of a genome database entry.	Provide the accession number of the reference genome.	NC_045512.2				
	Bioinformatics and QC metrics	bioinformatics protocol	xs:token							The name and version number of the bioinformatics protocol used.	Further details regarding the methods used to process raw data, and/or generate assemblies, and/or generate consensus sequences can be provided in an SOP or protocol. Provide the name and version number of the protocol.	https://www.protocols.io/groups/cphln-sarscov2-sequencing-consortium/members		Bioinformatics Protocol		
		Lineage and Variant information														
	Lineage and Variant information	lineage/clade name	xs:token							The name of the lineage or clade.	Provide the Pangolin or Nextstrain lineage/clade name.	B.1.1.7			PH_LINEAGE_CLADE_NAME	
	Lineage and Variant information	lineage/clade analysis software name	xs:token							The name of the software used to determine the lineage/clade.	Provide the name of the software used to determine the lineage/clade.	Pangolin			PH_LINEAGE_CLADE_SOFTWARE	
	Lineage and Variant information	lineage/clade analysis software version	xs:token							The version of the software used to determine the lineage/clade.	Provide the version of the software used ot determine the lineage/clade.	2.1.10			PH_LINEAGE_CLADE_VERSION	
	Lineage and Variant information	variant designation	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The variant classification of the lineage/clade i.e. variant, variant of concern.	If the lineage/clade is considered a Variant of Concern, select Variant of Concern from the pick list. If the lineage/clade contains mutations of concern (mutations that increase transmission, clincal severity, or other epidemiological fa ctors) but it not a global Variant of Concern, select Variant. If the lineage/clade does not contain mutations of concern, leave blank.	Variant of Concern			PH_VARIANT_DESIGNATION	
	Lineage and Variant information	variant evidence	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The evidence used to make the variant determination.	Select whether the sample was screened using RT-qPCR or by sequencing from the pick list.	RT-qPCR TaqPath assay: S gene target failure			PH_VARIANT_EVIDENCE	
	Lineage and Variant information	variant evidence details	xs:token							Details about the evidence used to make the variant determination.	Provide the assay and list the set of lineage-defining mutations used to make the variant determination. If there are mutations of interest/concern observed in addition to lineage-defining mutations, describe those here.				PH_ VARIANT_EVIDENCE_DETAILS	
		Pathogen diagnostic testing														
	Pathogen diagnostic testing	gene name 1	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of the gene used in the test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	E (orf4)		Gene Target 1	SUBMITTED_RESLT - Gene Target #1	gene_name_1
	Pathogen diagnostic testing	diagnostic pcr protocol 1	xs:token							The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	EGenePCRTest 2				
	Pathogen diagnostic testing	diagnostic pcr Ct value 1	xs:token							The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the diagnostic RT-PCR test.	21		Gene Target 1 CT Value	SUBMITTED_RESLT - Gene Target #1 CT Value	diagnostic_PCR_CT_value_1
	Pathogen diagnostic testing	gene name 2	select	gene name 1	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of another gene used in an RT-PCR test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	nsp12 (RdRp)		Gene Target 2	SUBMITTED_RESLT - Gene Target #2	gene_name_2
	Pathogen diagnostic testing	diagnostic pcr protocol 2	xs:token							The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a second diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	RdRpGenePCRTest 3				
	Pathogen diagnostic testing	diagnostic pcr Ct value 2	xs:token							The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the second diagnostic RT-PCR test.	36		Gene Target 2 CT Value	SUBMITTED_RESLT - Gene Target #2 CT Value	diagnostic_PCR_CT_value_2
	Pathogen diagnostic testing	gene name 3	select	gene name 1	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of another gene used in an RT-PCR test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	nsp12 (RdRp)		Gene Target 3	SUBMITTED_RESLT - Gene Target #3	
	Pathogen diagnostic testing	diagnostic pcr protocol 3	xs:token							The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a second diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	RdRpGenePCRTest 3				
	Pathogen diagnostic testing	diagnostic pcr Ct value 3	xs:token							The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the second diagnostic RT-PCR test.	30		Gene Target 3 CT Value	SUBMITTED_RESLT - Gene Target #3 CT Value	
		Contributor acknowledgement														
	Contributor acknowledgement	authors	xs:token			recommended				Names of individuals contributing to the processes of sample collection, sequence generation, analysis, and data submission.	Include the first and last names of all individuals that should be attributed, separated by a comma.	Tejinder Singh, Fei Hu, Joe Blogs	Authors	Authors	PH_CANCOGEN_AUTHORS	
	Contributor acknowledgement	DataHarmonizer provenance	provenance										DataHarmonizer provenance	Additional Comments	HC_COMMENTS	
																
																
	umbrella bioproject accession	PRJNA623807														
																
																
																
																
																
																
																
																
GAZ_00002566	geo_loc_name (state/province/territory)	Alberta													CA-AB	
GAZ_00002562	geo_loc_name (state/province/territory)	British Columbia													CA-BC	
GAZ_00002571	geo_loc_name (state/province/territory)	Manitoba													CA-MB	
GAZ_00002570	geo_loc_name (state/province/territory)	New Brunswick													CA-NB	
GAZ_00002567	geo_loc_name (state/province/territory)	Newfoundland and Labrador													CA-NL	
GAZ_00002575	geo_loc_name (state/province/territory)	Northwest Territories													CA-NT	
GAZ_00002565	geo_loc_name (state/province/territory)	Nova Scotia													CA-NS	
GAZ:00002574	geo_loc_name (state/province/territory)	Nunavut													CA-NU	
GAZ_00002563	geo_loc_name (state/province/territory)	Ontario													CA-ON	
GAZ_00002572	geo_loc_name (state/province/territory)	Prince Edward Island													CA-PE	
GAZ_00002569	geo_loc_name (state/province/territory)	Quebec													CA-QC	
GAZ_00002564	geo_loc_name (state/province/territory)	Saskatchewan													CA-SK	
GAZ_00002576	geo_loc_name (state/province/territory)	Yukon													CA-YT	
																
UO:0000035	host age unit	month													Month	
UO:0000036	host age unit	year													Year	
																
UO:0000035	sample collection date precision	year														
UO:0000036	sample collection date precision	month														
UO:0000033	sample collection date precision	day														
																
OBI:0000895	biomaterial extracted	RNA (total)														
OBI:0000869	biomaterial extracted	RNA (poly-A)														
OBI:0002627	biomaterial extracted	RNA (ribo-depleted)														
	biomaterial extracted	mRNA (messenger RNA)														
OBI:0002754	biomaterial extracted	mRNA (cDNA)														
																
																
	signs and symptoms	Abnormal lung auscultation														
HP:0000223	signs and symptoms	Abnormality of taste sensation													SENSE_OF_TASTE	
	Abnormality of taste sensation	      Ageusia (complete loss of taste)													AGEUSIA	
HP:0031249	Abnormality of taste sensation	      Parageusia (distorted sense of taste)													PARAGEUSIA	
HP_0000224 	Abnormality of taste sensation	      Hypogeusia (reduced sense of taste)													HYPOGEUSIA	
HP:0004408	signs and symptoms	Abnormality of the sense of smell													SENSE_OF_SMELL	
HP_0000458	Abnormality of the sense of smell	      Anosmia (lost sense of smell)													ANOSMIA	
HP_0004409	Abnormality of the sense of smell	      Hyposmia (reduced sense of smell)													HYPOSMIA	
	signs and symptoms	Acute Respiratory Distress Syndrome												ARDS		
HP:0011446	signs and symptoms	Altered mental status													ALTERED_CONSCIOUS	
HP:0011675	signs and symptoms	Arrhythmia														
HP:0100543	Altered mental status	      Cognitive impairment													COGNITIVE	
HP_0001259	Altered mental status	      Coma													COMA	
HP_0001289	Altered mental status	      Confusion													CONFUSION	
HP_0031258	Confusion	            Delirium (sudden severe confusion)													DELIRIUM	
	Altered mental status	      Inability to arouse (inability to stay awake)													INABILITY_AWAKE	
HP_0000737 	Altered mental status	      Irritability													IRRITABILITY	
HP_0002371	Altered mental status	      Loss of speech													LOSS_OF_SPEECH	
HP_0025406	signs and symptoms	Asthenia (generalized weakness)													ASTHENIA	
HP:0031352	signs and symptoms	Chest tightness or pressure													CHEST_TIGHT	
HP:0025145	Chest tightness or pressure	      Rigors (fever shakes)													RIGORS	
HP_0025143 	signs and symptoms	Chills (sudden cold sensation)												Chills	CHILLS	
	signs and symptoms	Conjunctival injection														
HP_0000509	signs and symptoms	Conjunctivitis (pink eye)												Conjunctivitis	CONJUNCTIVITIS	
	signs and symptoms	Coryza														
HP_0012735	signs and symptoms	Cough 													COUGH	
HP:0031246	Cough	      Nonproductive cough (dry cough)													NONPRODUCT_COUGH	
HP:0031245	Cough	      Productive cough (wet cough)													PRODUCTIVE_COUGH	
HP:0000961	signs and symptoms	Cyanosis (blueish skin discolouration)													CYANOSIS	
HP:0001063	Cyanosis (blueish skin discolouration)	      Acrocyanosis													ACROCYANOS	
	Acrocyanosis	            Circumoral cyanosis (bluish around mouth)													CIRCUMORAL_CYANOSIS	
	Acrocyanosis	            Cyanotic face (bluish face)													CYANOTIC_FACE	
	Cyanosis (blueish skin discolouration)	      Central Cyanosis														
	Central Cyanosis	            Cyanotic lips (bluish lips) 													CYANOTIC_LIPS	
	Cyanosis (blueish skin discolouration)	            Peripheral Cyanosis														
HP_0002094	signs and symptoms	Dyspnea (breathing difficulty) 													DYSPNEA	
HP_0002014	signs and symptoms	Diarrhea (watery stool)												Diarrhea, watery	DIARRHEA	
	signs and symptoms	Dry gangrene														
HP_0002383	signs and symptoms	Encephalitis (brain inflammation)												Encephalitis	ENCEPHALITIS	
	signs and symptoms	Encephalopathy														
HP_0012378	signs and symptoms	Fatigue (tiredness)												Fatigue	FATIGUE	
HP_0001945 	signs and symptoms	Fever													FEVER	
	Fever	      Fever (>=38°C)												Fever		
HP:0000206	signs and symptoms	Glossitis (inflammation of the tongue)													GLOSSITIS	
	signs and symptoms	Ground Glass Opacities (GGO)														
HP_0002315	signs and symptoms	Headache													HEADACHE	
HP_0002105	signs and symptoms	Hemoptysis (coughing up blood)													HEMOPTYSIS	
HP:0012417	signs and symptoms	Hypocapnia														
HP_0002615	signs and symptoms	Hypotension (low blood pressure)													HYPOTENSION	
HP_0012418	signs and symptoms	Hypoxemia (low blood oxygen)													HYPOXEMIA	
	Hypoxemia (low blood oxygen)	      Silent hypoxemia														
HP:0011029	signs and symptoms	Internal hemorrhage (internal bleeding)													INTERNAL_HEMORRHAGE	
NCIT:C121416	signs and symptoms	Loss of Fine Movements													LOSS_OF_FINE_MOVE	
HP_0004396 	signs and symptoms	Low appetite													LOW_APPETITE	
	signs and symptoms	Malaise (general discomfort/unease)													MALAISE	
	signs and symptoms	Meningismus/nuchal rigidity														
HP_0001324	signs and symptoms	Muscle weakness													MUSCLE_WEAK	
HP_0001742	signs and symptoms	Nasal obstruction (stuffy nose)													NASAL_OBSTRUCT	
HP_0002018	signs and symptoms	Nausea													NAUSEA	
	signs and symptoms	Nose bleed														
	signs and symptoms	Otitis														
	signs and symptoms	Pain														
HP:0002027	Pain	      Abdominal pain													ABDOMINAL	
HP_0002829	Pain	      Arthralgia (painful joints)													ARTHRALGIA	
HP_0100749	Pain	      Chest pain													CHEST_PAIN	
	Chest pain	            Pleuritic chest pain														
HP_0003326	Pain	      Myalgia (muscle pain) 													MYALGIA	
HP_0025439	signs and symptoms	Pharyngitis (sore throat) 													PHARYNGITIS	
	signs and symptoms	Pharyngeal exudate														
	signs and symptoms	Pleural effusion														
HP:0002090	signs and symptoms	Pneumonia														
	signs and symptoms	Prostration														
	signs and symptoms	Pseudo-chilblains														
	Pseudo-chilblains	      Pseudo-chilblains on fingers (covid fingers)													PSEUDO-CHIBLAINS_F	
	Pseudo-chilblains	      Pseudo-chilblains on toes (covid toes)													PSEUDO-CHIBLAINS_T	
HP_0000988	signs and symptoms	Rash													RASH	
HP_0031417	signs and symptoms	Rhinorrhea (runny nose)													RHINORRHEA	
HP_0001250	signs and symptoms	Seizure													SEIZURE	
HP:0020219	Seizure	      Motor seizure													MOTOR_SEIZURE	
HP:0025144	signs and symptoms	Shivering (involuntary muscle twitching)													SHIVERING	
HP_0001350	signs and symptoms	Slurred speech													SLURRED_SPEECH	
	signs and symptoms	Sneezing														
	signs and symptoms	Sputum Production														
HP:0001297	signs and symptoms	Stroke													STROKE	
	signs and symptoms	Swollen Lymph Nodes														
HP_0002789	signs and symptoms	Tachypnea (accelerated respiratory rate)													TACHYPNEA	
	signs and symptoms	Vertigo (dizziness)														
HP_0002013	signs and symptoms	Vomiting (throwing up)													VOMITING	
																
	host vaccination status	Fully Vaccinated														
	host vaccination status	Partially Vaccinated														
	host vaccination status	Not Vaccinated														
																
	prior SARS-CoV-2 antiviral treatment	Prior antivrial treatment														
	prior SARS-CoV-2 antiviral treatment	No prior antivrial treatment														
	prior SARS-CoV-2 antiviral treatment	Unknown														
																
OBI_0002600	NML submitted specimen type	Swab 													PH_SPECIMEN_TYPE:SWAB	
OBI_0000880	NML submitted specimen type	RNA													PH_SPECIMEN_TYPE:RNA	
OBI:0002754	NML submitted specimen type	mRNA (cDNA)														
	NML submitted specimen type	Nucleic acid													PH_SPECIMEN_TYPE:NUCLEIC_ACID	
	NML submitted specimen type	Not Applicable													PH_SPECIMEN_TYPE:NA	
																
																
	NML related specimen relationship type	Acute														
	NML related specimen relationship type	Convalescent														
	NML related specimen relationship type	Familial														
	NML related specimen relationship type	Follow-up														
	NML related specimen relationship type	Previously Submitted														
																
																
	pre-existing conditions and risk factors	Age 60+														
	pre-existing conditions and risk factors	Anemia														
	pre-existing conditions and risk factors	Anorexia														
	pre-existing conditions and risk factors	Birthing labor														
	pre-existing conditions and risk factors	Bone marrow failure														
	pre-existing conditions and risk factors	Cancer														
	Cancer	      Breast cancer														
	Cancer	      Colorectal cancer														
	Cancer	      Hematologic malignancy														
	Cancer	      Lung cancer														
	Cancer	      Metastatic disease														
	pre-existing conditions and risk factors	Cancer treatment														
	Cancer treatment	      Cancer surgery														
	Cancer treatment	      Chemotherapy														
	Chemotherapy	            Adjuvant chemotherapy														
	pre-existing conditions and risk factors	Cardiac disorder														
HP:0011675	Cardiac disorder	      Arrhythmia														
	Cardiac disorder	      Cardiac disease														
HP:0001638	Cardiac disorder	      Cardiomyopathy														
	Cardiac disorder	      Cardiac injury														
HP_0000822	Cardiac disorder	      Hypertension (high blood pressure)														
HP:0002615	Cardiac disorder	      Hypotension (low blood pressure)														
	pre-existing conditions and risk factors	Cesarean section														
	pre-existing conditions and risk factors	Chronic cough														
	pre-existing conditions and risk factors	Chronic gastrointestinal disease														
	pre-existing conditions and risk factors	Chronic lung disease														
	pre-existing conditions and risk factors	Corticosteroids														
	pre-existing conditions and risk factors	Diabetes mellitus (diabetes)														
	Diabetes mellitus (diabetes)	      Type I diabetes mellitus (T1D)														
	Diabetes mellitus (diabetes)	      Type II diabetes mellitus (T2D)														
	pre-existing conditions and risk factors	Eczema														
	pre-existing conditions and risk factors	Electrolyte disturbance														
	Electrolyte disturbance	      Hypocalcemia														
	Electrolyte disturbance	      Hypokalemia														
	Electrolyte disturbance	      Hypomagnesemia														
HP:0002383	pre-existing conditions and risk factors	Encephalitis (brain inflammation)														
	pre-existing conditions and risk factors	Epilepsy														
	pre-existing conditions and risk factors	Hemodialysis														
	pre-existing conditions and risk factors	Hemoglobinopathy														
	pre-existing conditions and risk factors	Human immunodeficiency virus (HIV)														
	Human immunodeficiency virus (HIV)	      Acquired immunodeficiency syndrome (AIDS)														
	Human immunodeficiency virus (HIV)	      HIV and antiretroviral therapy (ART)														
	pre-existing conditions and risk factors	Immunocompromised														
	Immunocompromised	      Lupus														
	pre-existing conditions and risk factors	Inflammatory bowel disease (IBD)														
	Inflammatory bowel disease (IBD)	      Colitis														
	Colitis	            Ulcerative colitis														
	Inflammatory bowel disease (IBD)	      Crohn's disease														
	pre-existing conditions and risk factors	Renal disorder														
	Renal disorder	      Renal disease														
	Renal disorder	            Chronic renal disease														
	Renal disorder	            Renal failure														
	pre-existing conditions and risk factors	Liver disease														
	Liver disease	      Chronic liver disease														
	Chronic liver disease	            Fatty liver disease (FLD)														
HP:0003326	pre-existing conditions and risk factors	Myalgia (muscle pain) 														
	pre-existing conditions and risk factors	Myalgic encephalomyelitis (ME)														
	pre-existing conditions and risk factors	Neurological disorder														
	Neurological disorder	      Neuromuscular disorder														
	pre-existing conditions and risk factors	Obesity														
	Obesity	      Severe obesity														
	pre-existing conditions and risk factors	Respiratory disorder														
	Respiratory disorder	      Asthma														
	Respiratory disorder	      Chronic bronchitis														
	Respiratory disorder	      Chronic pulmonary disease														
	Chronic pulmonary disease	            Chronic obstructive pulmonary disease														
	Respiratory disorder	      Emphysema														
	Respiratory disorder	      Lung disease														
	Lung disease	            Chronic lung disease														
	Lung disease	            Pulmonary fibrosis														
HP:0002090	Respiratory disorder	      Pneumonia														
	Respiratory disorder	      Respiratory failure														
	Respiratory failure	            Adult respiratory distress syndrome														
	Respiratory failure	            Newborn respiratory distress syndrome														
	Respiratory disorder	      Tuberculosis														
	pre-existing conditions and risk factors	Postpartum (≤6 weeks)														
	pre-existing conditions and risk factors	Pregnancy														
	pre-existing conditions and risk factors	Rheumatic disease														
	pre-existing conditions and risk factors	Sickle cell disease														
	pre-existing conditions and risk factors	Substance use														
	Substance use	      Alcohol abuse														
	Substance use	      Drug abuse														
	Drug abuse	            Injection drug abuse														
	Substance use	      Smoking														
	Substance use	      Vaping														
HP:0002789	pre-existing conditions and risk factors	Tachypnea (accelerated respiratory rate)														
	pre-existing conditions and risk factors	Transplant														
	Transplant	      Bone marrow transplant														
	Transplant	      Cardiac transplant														
	Transplant	      Hematopoietic stem cell transplant (HSCT)														
	Transplant	      Kidney transplant														
	Transplant	      Liver transplant														
																
	variant designation	Variant of Concern (VOC)														
	variant designation	Variant of Interest (VOI)														
																
	variant evidence	RT-qPCR														
	variant evidence	Sequencing														
																
	complications	Abnormal blood oxygen level														
	complications	Acute respiratory failure														
HP:0011675	complications	Arrhythmia (complication)														
	Arrhythmia (complication)	      Tachycardia														
	Tachycardia	            Polymorphic ventricular tachycardia (VT)														
	Tachycardia	            Tachyarrhythmia														
	complications	Noncardiogenic pulmonary edema														
	Noncardiogenic pulmonary edema	      Acute respiratory distress syndrome (ARDS)														
	Acute respiratory distress syndrome (ARDS)	            COVID-19 associated ARDS (CARDS)														
	Acute respiratory distress syndrome (ARDS)	            Neurogenic pulmonary edema (NPE)														
	complications	Cardiac injury														
	complications	Cardiac arrest														
	complications	Cardiogenic shock														
	complications	Blood clot														
	Blood clot	      Arterial clot														
	Blood clot	      Deep vein thrombosis (DVT)														
	Blood clot	      Pulmonary embolism (PE)														
HP:0001638	complications	Cardiomyopathy														
	complications	Central nervous system invasion														
	complications	Stroke (complication)														
	Stroke (complication)	      Central Nervous System Vasculitis														
	Stroke (complication)	      Ischemic stroke														
	Ischemic stroke	            Acute ischemic stroke														
	complications	Coma														
	complications	Convulsions														
	complications	COVID-19 associated coagulopathy (CAC)														
	complications	Cystic fibrosis														
	complications	Cytokine release syndrome														
	complications	Disseminated intravascular coagulation (DIC)														
	complications	Encephalopathy														
	complications	Fulminant myocarditis														
	complications	Guillain-Barré syndrome														
	complications	Internal hemorrhage (complication; internal bleeding)														
	Internal hemorrhage (complication; internal bleeding)	      Intracerebral haemorrhage														
	complications	Kawasaki disease														
	Kawasaki disease	      Typical Kawasaki disease														
	Kawasaki disease	      Incomplete Kawasaki disease														
	complications	Kidney injury														
	Kidney injury	      Acute kidney injury														
	complications	Liver dysfunction														
	complications	Liver injury														
	Liver injury	      Acute liver injury														
	complications	Lung injury														
	Lung injury	      Acute lung injury														
	complications	Meningitis														
	complications	Migraine														
	complications	Miscarriage														
	complications	Multisystem inflammatory syndrome in children (MIS-C)														
	complications	Muscle injury														
	complications	Myalgic encephalomyelitis (ME)														
	complications	Myocardial infarction (heart attack)														
	Myocardial infarction (heart attack)	      Acute myocardial infarction														
	Myocardial infarction (heart attack)	      Elevation myocardial infarction														
	Myocardial infarction (heart attack)	      ST-segment elevation myocardial infarction														
	complications	Myocardial injury														
	complications	Neonatal complications														
	complications	Organ failure														
	Organ failure	      Heart failure														
	Organ failure	      Liver failure														
	complications	Paralysis														
	complications	Pneumothorax (collapsed lung)														
	Pneumothorax (collapsed lung)	      Spontaneous pneumothorax														
	Pneumothorax (collapsed lung)	      Spontaneous tension pneymothorax														
	complications	Pneumonia (complication)														
	Pneumonia (complication)	      COVID-19 pneumonia														
	complications	Pregancy complications														
	complications	Rhabdomyolysis														
	complications	Secondary infection														
	Secondary infection	      Secondary staph infection														
	Secondary infection	      Secondary strep infection														
HP:0001250	complications	Seizure (complication)														
HP:0020219	Seizure (complication)	      Motor seizure														
	complications	Sepsis														
	complications	Septicemia														
	complications	Shock														
	Shock	      Hyperinflammatory shock														
	Shock	      Refractory cardiogenic shock														
	Shock	      Refractory cardiogenic plus vasoplegic shock														
	Shock	      Septic shock														
	complications	Vasculitis														
	complications	Ventilation induced lung injury (VILI)														
																
																
																
UBERON_0000178	anatomical material	Blood													BLOOD	
UBERON_0006314	anatomical material	Fluid													FLUID	
UBERON_0001836	Fluid	      Saliva													SALIVA	
UBERON_0001359	Fluid	      Fluid (cerebrospinal (CSF))													FLUID_CSF	
UBERON_0002409	Fluid	      Fluid (pericardial)													FLUID_PERICARDIAL	
UBERON_0001087	Fluid	      Fluid (pleural)													FLUID_PLEURAL	
UBERON_0036243	Fluid	      Fluid (vaginal)													FLUID_VAGINAL	
UBERON_0000173	Fluid	      Fluid (amniotic)													FLUID_AMNIOTIC	
UBERON_0000479	anatomical material	Tissue													TISSUE	
																
																
																
UBERON_0001245	anatomical part	Anus													ANUS	
	anatomical part	Buccal mucosa													BUCCAL_MUCOSA	
UBERON_0002114	anatomical part	Duodenum													DUODENUM	
UBERON_0000970	anatomical part	Eye													EYE	
	anatomical part	Intestine													INTESTINE	
UBERON_0001052	anatomical part	Rectum													RECTUM	
UBERON_0001003	anatomical part	Skin													SKIN	
UBERON_0000945	anatomical part	Stomach													STOMACH	
UBERON_0001557	anatomical part	Upper respiratory tract													UPPER	
UBERON_2001427	Upper respiratory tract	      Anterior Nares													ANTERIOR_NARES	
UBERON_0001043	Upper respiratory tract	      Esophagus													ESOPHAGUS	
UBERON_0002453	Upper respiratory tract	      Ethmoid sinus													ETHMOID_SINUS	
	Upper respiratory tract	      Nasal Cavity													NASAL_CAVITY	
UBERON_0005921 	Nasal Cavity	           Middle Nasal Turbinate													MIDDLE_NASAL	
UBERON_0005922	Nasal Cavity	           Inferior Nasal Turbinate													INFERIOR_NASAL	
UBERON_0001728	Upper respiratory tract	      Nasopharynx (NP)													NASOPHARYNX_NP	
UBERON_0001729	Upper respiratory tract	      Oropharynx (OP)													OROPHARYNX_OP	
UBERON_0001558	anatomical part	Lower respiratory tract													LOWER	
UBERON_0002185 	Lower respiratory tract	      Bronchus													BRONCHUS	
UBERON_0002048	Lower respiratory tract	      Lung													LUNG	
UBERON_0002186	Lung	           Bronchiole													BRONCHIOLE	
UBERON_0002169	Lung	           Alveolar sac													ALVEOLAR_SAC	
UBERON_0009778 	Lower respiratory tract	      Pleural sac													PLEURAL_SAC	
UBERON_0002402	Pleural sac	           Pleural cavity													PLEURAL_CAVITY	
UBERON_0003126	Lower respiratory tract	      Trachea													TRACHEA	
																
																
																
																
UBERON_0001988	body product	Feces													FECES	
UBERON_0001088	body product	Urine													URINE	
UBERON_0001089	body product	Sweat													SWEAT	
UBERON_0000912	body product	Mucus													MUCUS	
UBERON_0007311	Mucus	      Sputum													SPUTUM	
UBERON_0001827	body product	Tear													TEAR	
UBERON_0006530	body product	Fluid (seminal)													FLUID_SEMINAL	
UBERON_0001913	body product	Breast Milk													BREAST_MILK	
																
	prior SARS-CoV-2 infection	Yes														
	prior SARS-CoV-2 infection	No														
	prior SARS-CoV-2 infection	Unknown														
																
																
	environmental material	Air vent													AIR_VENT	
ENVO_00003896	environmental material	Banknote													BANKNOTE	
	environmental material	Bed rail													BED_RAIL	
ENVO_01000486	environmental material	Building floor													BUILDING_FLOOR	
ENVO_02000058	environmental material	Cloth													CLOTH	
	environmental material	Control panel													CONTROL_PANEL	
NCIT_C48950	environmental material	Door  													DOOR	
	environmental material	Door handle													DOOR_HANDLE	
	environmental material	Face mask													FACE_MASK	
	environmental material	Face shield													FACE_SHIELD	
FOODON:00002403	environmental material	Food													FOOD	
FOODON:03490100	environmental material	Food packaging													FOOD_PACKAGING	
ENVO:01000481	environmental material	Glass													GLASS	
	environmental material	Handrail													HANDRAIL	
	environmental material	Hospital gown													HOSPITAL_GOWN	
	environmental material	Light switch													LIGHT_SWITCH	
	environmental material	Locker													LOCKER	
	environmental material	N95 mask													N95_MASK	
	environmental material	Nurse call button 													NURSE_CALL_BUTTON	
	environmental material	Paper													PAPER	
ENVO:01000060	environmental material	Particulate matter													PARTICULATE_MATTER	
ENVO:01000404	environmental material	Plastic													PLASTIC	
	environmental material	PPE gown													PPE_GOWN	
ENVO_00002018	environmental material	Sewage													SEWAGE	
ENVO_01000990	environmental material	Sink													SINK	
ENVO_00001998	environmental material	Soil													SOIL	
	environmental material	Stainless steel													STAINLESS_STEEL	
	environmental material	Tissue paper													TISSUE_PAPER	
	environmental material	Toilet bowl													TOILET_BOWL	
ENVO_00002006	environmental material	Water													WATER	
	environmental material	     Wastewater													WASTEWATER	
	environmental material	Window													WINDOW	
ENVO:00002040	environmental material	Wood													WOOD	
																
	environmental site	Acute care facility													ACUTE_CARE_FACILITY	
ENVO:00003040	environmental site	Animal house													ANIMAL_HOUSE	
