class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	string_serialization	description	comments	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
	Host reinfection information	GENEPIO:0001440	prior SARS-CoV-2 antiviral treatment date		date										The date treatment was first administered during the prior SARS-CoV-2 infection.	Provide the date that the antiviral treatment agent was first administered during the most recenrt prior infection. Provide the prior SARS-CoV-2 treatment date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-28			prior SARS-CoV-2 antiviral treatment date		
																						
																						
		GENEPIO:0001441	Sequencing																			
	Sequencing	GENEPIO:0001445	purpose of sequencing		purpose of sequencing menu	null value menu		TRUE	TRUE						The reason that the sample was sequenced.	The reason why a sample was originally collected may differ from the reason why it was selected for sequencing. The reason a sample was sequenced may provide information about potential biases in sequencing strategy. Provide the purpose of sequencing from the picklist in the template. The reason for sample collection should be indicated in the "purpose of sampling" field. 	Baseline surveillance (random sampling)		Reason for Sequencing	PH_REASON_FOR_SEQUENCING	purpose_of_sequencing	purpose of sequencing
	Sequencing	GENEPIO:0001446	purpose of sequencing details		xsd:token	null value menu			TRUE						The description of why the sample was sequenced providing specific details.	Provide an expanded description of why the sample was sequenced using free text. The description may include the importance of the sequences for a particular public health investigation/surveillance activity/research question. Suggested standardized descriotions include: Screened for S gene target failure (S dropout), Screened for mink variants, Screened for B.1.1.7 variant, Screened for B.1.135 variant, Screened for P.1 variant, Screened due to travel history, Screened due to close contact with infected individual, Assessing public health control measures, Determining early introductions and spread, Investigating airline-related exposures, Investigating temporary foreign worker, Investigating remote regions, Investigating health care workers, Investigating schools/universities, Investigating reinfection.	Screened for S gene target failure (S dropout)		Details on the Reason for Sequencing	PH_REASON_FOR_SEQUENCING_DETAILS		purpose of sequencing details
	Sequencing	GENEPIO:0001447	sequencing date		date	null value menu			TRUE		{sample collection date}				The date the sample was sequenced.	ISO 8601 standard "YYYY-MM-DD".	2020-06-22			PH_SEQUENCING_DATE		
	Sequencing	GENEPIO:0001448	library ID		xsd:token					TRUE					The user-specified identifier for the library prepared for sequencing.	The library name should be unique, and can be an autogenerated ID from your LIMS, or modification of the isolate ID.	XYZ_123345			library ID		
	Sequencing	GENEPIO:0001449	amplicon size		xsd:token										The length of the amplicon generated by PCR amplification.	Provide the amplicon size, including the units.	300bp			amplicon size		
	Sequencing	GENEPIO:0001450	library preparation kit		xsd:token										The name of the DNA library preparation kit used to generate the library being sequenced.	Provide the name of the library preparation kit used.	Nextera XT			PH_LIBRARY_PREP_KIT		
	Sequencing	GENEPIO:0001451	flow cell barcode		xsd:token										The barcode of the flow cell used for sequencing.	Provide the barcode of the flow cell used for sequencing the sample.	FAB06069			flow cell barcode		
	Sequencing	GENEPIO:0001452	sequencing instrument		sequencing instrument menu	null value menu		TRUE	TRUE						The model of the sequencing instrument used.	Select a sequencing instrument from the picklist provided in the template.	Oxford Nanopore MinION	Sequencing technology	Sequencing Instrument	PH_INSTRUMENT_CGN		sequencing instrument
	Sequencing	GENEPIO:0001453	sequencing protocol name		xsd:token					TRUE					The name and version number of the sequencing protocol used.	Provide the name and version of the sequencing protocol e.g. 1D_DNA_MinION	https://www.protocols.io/view/covid-19-artic-v3-illumina-library-construction-an-bibtkann		Sequencing Protocol Name	PH_SEQ_PROTOCOL_NAME		
	Sequencing	GENEPIO:0001454	sequencing protocol  		xsd:token										The protocol used to generate the sequence.	Provide a free text description of the methods and materials used to generate the sequence. Suggested text, fill in information where indicated.: "Viral sequencing was performed following a tiling amplicon strategy using the <fill in> primer scheme. Sequencing was performed using a <fill in> sequencing instrument. Libraries were prepared using <fill in> library kit. "	Genomes were generated through amplicon sequencing of 1200 bp amplicons with Freed schema primers. Libraries were created using Illumina DNA Prep kits, and sequence data was produced using Miseq Micro v2 (500 cycles) sequencing kits.			PH_TESTING_PROTOCOL		sequencing protocol  
	Sequencing	GENEPIO:0001455	sequencing kit number		xsd:token										The manufacturer's kit number.	Alphanumeric value.	AB456XYZ789			sequencing kit number		
	Sequencing	GENEPIO:0001456	amplicon pcr primer scheme		xsd:token										The specifications of the primers (primer sequences, binding positions, fragment size generated etc) used to generate the amplicons to be sequenced.	Provide the name and version of the primer scheme used to generate the amplicons for sequencing.	https://github.com/joshquick/artic-ncov2019/blob/master/primer_schemes/nCoV-2019/V3/nCoV-2019.tsv			amplicon pcr primer scheme		
		GENEPIO:0001457	Bioinformatics and QC metrics																			
	Bioinformatics and QC metrics	GENEPIO:0001458	raw sequence data processing method		xsd:token				TRUE						The names of the software and version number used for raw data processing such as removing barcodes, adapter trimming, filtering etc.	Provide the software name followed by the version e.g. Trimmomatic v. 0.38, Porechop v. 0.2.3	Porechop 0.2.3			PH_RAW_SEQUENCE_METHOD		raw sequence data processing method
	Bioinformatics and QC metrics	GENEPIO:0001459	dehosting method		xsd:token				TRUE						The method used to remove host reads from the pathogen sequence.	Provide the name and version number of the software used to remove host reads.	Nanostripper			PH_DEHOSTING_METHOD		dehosting method
	Bioinformatics and QC metrics	GENEPIO:0001460	consensus sequence name		xsd:token										The name of the consensus sequence.	Provide the name and version number of the consensus sequence.	ncov123assembly3			consensus sequence name		
	Bioinformatics and QC metrics	GENEPIO:0001461	consensus sequence filename		xsd:token										The name of the consensus sequence file.	Provide the name and version number of the consensus sequence FASTA file.	ncov123assembly.fasta			consensus sequence filename		
	Bioinformatics and QC metrics	GENEPIO:0001462	consensus sequence filepath		xsd:token										The filepath of the consesnsus sequence file.	Provide the filepath of the consensus sequence FASTA file.	/User/Documents/RespLab/Data/ncov123assembly.fasta			consensus sequence filepath		
	Bioinformatics and QC metrics	GENEPIO:0001463	consensus sequence software name		xsd:token				TRUE						The name of software used to generate the consensus sequence.	Provide the name of the software used to generate the consensus sequence.	iVar		consensus sequence 	PH_CONSENSUS_SEQUENCE		consensus sequence software name
	Bioinformatics and QC metrics	GENEPIO:0001469	consensus sequence software version		xsd:token				TRUE						The version of the software used to generate the consensus sequence.	Provide the version of the software used to generate the consensus sequence.	1.3		consensus sequence 	PH_CONSENSUS_SEQUENCE_VERSION		consensus sequence software version
	Bioinformatics and QC metrics	GENEPIO:0001472	breadth of coverage value		xsd:token										The percentage of the reference genome covered by the sequenced data, to a prescribed depth.	Provide value as a percent.	95%			breadth of coverage value		breadth of coverage value
	Bioinformatics and QC metrics	GENEPIO:0001474	depth of coverage value		xsd:token										The average number of reads representing a given nucleotide in the reconstructed sequence.	Provide value as a fold of coverage.	400x	Coverage		depth of coverage value		depth of coverage value
	Bioinformatics and QC metrics	GENEPIO:0001475	depth of coverage threshold		xsd:token										The threshold used as a cut-off for the depth of coverage.	Provide the threshold fold coverage.	100x			depth of coverage threshold		
	Bioinformatics and QC metrics	GENEPIO:0001476	r1 fastq filename        		xsd:token					TRUE					The user-specified filename of the r1 FASTQ file.	Provide the r1 FASTQ filename.	ABC123_S1_L001_R1_001.fastq.gz			r1 fastq filename        		
	Bioinformatics and QC metrics	GENEPIO:0001477	r2 fastq filename		xsd:token					TRUE					The user-specified filename of the r2 FASTQ file.	Provide the r2 FASTQ filename.	ABC123_S1_L001_R2_001.fastq.gz			r2 fastq filename		
	Bioinformatics and QC metrics	GENEPIO:0001478	r1 fastq filepath		xsd:token										The location of the r1 FASTQ file within a user's file system.	Provide the filepath for the r1 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R1_001.fastq.gz			r1 fastq filepath		
	Bioinformatics and QC metrics	GENEPIO:0001479	r2 fastq filepath		xsd:token										The location of the r2 FASTQ file within a user's file system.	Provide the filepath for the r2 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R2_001.fastq.gz			r2 fastq filepath		
	Bioinformatics and QC metrics	GENEPIO:0001480	fast5 filename		xsd:token										The user-specified filename of the FAST5 file.	Provide the FAST5 filename.	rona123assembly.fast5			fast5 filename		
	Bioinformatics and QC metrics	GENEPIO:0001481	fast5 filepath		xsd:token										The location of the FAST5 file within a user's file system.	Provide the filepath for the FAST5 file. This information aids in data management. 	/User/Documents/RespLab/Data/rona123assembly.fast5			fast5 filepath		
	Bioinformatics and QC metrics	GENEPIO:0001482	number of base pairs sequenced		integer						0				The number of total base pairs generated by the sequencing process.	Provide a numerical value (no need to include units).	387566			number of base pairs sequenced		
	Bioinformatics and QC metrics	GENEPIO:0001483	consensus genome length		integer						0				Size of the reconstructed genome described as the number of base pairs.	Provide a numerical value (no need to include units).	38677			consensus genome length		
	Bioinformatics and QC metrics	GENEPIO:0001484	Ns per 100 kbp		decimal						0				The number of N symbols present in the consensus fasta sequence, per 100kbp of sequence.	Provide a numerical value (no need to include units).	330			Ns per 100 kbp		
	Bioinformatics and QC metrics	GENEPIO:0001485	reference genome accession		xsd:token										A persistent, unique identifier of a genome database entry.	Provide the accession number of the reference genome.	NC_045512.2			reference genome accession		reference genome accession
	Bioinformatics and QC metrics	GENEPIO:0001489	bioinformatics protocol		xsd:token				TRUE						A description of the overall bioinformatics strategy used.	Further details regarding the methods used to process raw data, and/or generate assemblies, and/or generate consensus sequences can. This information can be provided in an SOP or protocol or pipeline/workflow. Provide the name and version number of the protocol, or a GitHub link to a pipeline or workflow.	https://github.com/phac-nml/ncov2019-artic-nf		Bioinformatics Protocol	PH_BIOINFORMATICS_PROTOCOL		bioinformatics protocol
		GENEPIO:0001498	Lineage and Variant information																			
	Lineage and Variant information	GENEPIO:0001500	lineage/clade name		xsd:token										The name of the lineage or clade.	Provide the Pangolin or Nextstrain lineage/clade name.	B.1.1.7			PH_LINEAGE_CLADE_NAME		
	Lineage and Variant information	GENEPIO:0001501	lineage/clade analysis software name		xsd:token										The name of the software used to determine the lineage/clade.	Provide the name of the software used to determine the lineage/clade.	Pangolin			PH_LINEAGE_CLADE_SOFTWARE		
	Lineage and Variant information	GENEPIO:0001502	lineage/clade analysis software version		xsd:token										The version of the software used to determine the lineage/clade.	Provide the version of the software used ot determine the lineage/clade.	2.1.10			PH_LINEAGE_CLADE_VERSION		
	Lineage and Variant information	GENEPIO:0001503	variant designation		variant designation menu	null value menu									The variant classification of the lineage/clade i.e. variant, variant of concern.	If the lineage/clade is considered a Variant of Concern, select Variant of Concern from the pick list. If the lineage/clade contains mutations of concern (mutations that increase transmission, clincal severity, or other epidemiological fa ctors) but it not a global Variant of Concern, select Variant. If the lineage/clade does not contain mutations of concern, leave blank.	Variant of Concern			PH_VARIANT_DESIGNATION		
	Lineage and Variant information	GENEPIO:0001504	variant evidence		variant evidence menu	null value menu									The evidence used to make the variant determination.	Select whether the sample was screened using RT-qPCR or by sequencing from the pick list.	RT-qPCR			PH_VARIANT_EVIDENCE		
	Lineage and Variant information	GENEPIO:0001505	variant evidence details		xsd:token										Details about the evidence used to make the variant determination.	Provide the assay and list the set of lineage-defining mutations used to make the variant determination. If there are mutations of interest/concern observed in addition to lineage-defining mutations, describe those here.	Lineage-defining mutations: ORF1ab (K1655N), Spike (K417N, E484K, N501Y, D614G, A701V), N (T205I), E (P71L).			PH_VARIANT_EVIDENCE_DETAILS		
		GENEPIO:0001506	Pathogen diagnostic testing																			
	Pathogen diagnostic testing	GENEPIO:0001507	gene name 1		gene name menu	null value menu									The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of the gene used in the test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	E gene (orf4)		Gene Target 1	SUBMITTED_RESLT - Gene Target #1	gene_name_1	gene name
	Pathogen diagnostic testing	GENEPIO:0001508	diagnostic pcr protocol 1		xsd:token										The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	EGenePCRTest 2					
	Pathogen diagnostic testing	GENEPIO:0001509	diagnostic pcr Ct value 1		decimal	null value menu									The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the diagnostic RT-PCR test.	21		Gene Target 1 CT Value	SUBMITTED_RESLT - Gene Target #1 CT Value	diagnostic_PCR_CT_value_1	diagnostic pcr Ct value 
	Pathogen diagnostic testing	GENEPIO:0001510	gene name 2		gene name menu	null value menu									The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of another gene used in an RT-PCR test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	RdRp gene (nsp12)		Gene Target 2	SUBMITTED_RESLT - Gene Target #2	gene_name_2	
	Pathogen diagnostic testing	GENEPIO:0001511	diagnostic pcr protocol 2		xsd:token										The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a second diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	RdRpGenePCRTest 3					
	Pathogen diagnostic testing	GENEPIO:0001512	diagnostic pcr Ct value 2		decimal	null value menu									The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the second diagnostic RT-PCR test.	36		Gene Target 2 CT Value	SUBMITTED_RESLT - Gene Target #2 CT Value	diagnostic_PCR_CT_value_2	
	Pathogen diagnostic testing	GENEPIO:0001513	gene name 3		gene name menu	null value menu									The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of another gene used in an RT-PCR test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	RdRp gene (nsp12)		Gene Target 3	SUBMITTED_RESLT - Gene Target #3		
	Pathogen diagnostic testing	GENEPIO:0001514	diagnostic pcr protocol 3		xsd:token										The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a second diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	RdRpGenePCRTest 3					
	Pathogen diagnostic testing	GENEPIO:0001515	diagnostic pcr Ct value 3		decimal	null value menu									The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the second diagnostic RT-PCR test.	30		Gene Target 3 CT Value	SUBMITTED_RESLT - Gene Target #3 CT Value		
																						
																						
		GENEPIO:0001516	Contributor acknowledgement																			
	Contributor acknowledgement	GENEPIO:0001517	authors		xsd:token					TRUE					Names of individuals contributing to the processes of sample collection, sequence generation, analysis, and data submission.	Include the first and last names of all individuals that should be attributed, separated by a comma.	Tejinder Singh, Fei Hu, Joe Blogs	Authors	Authors	PH_CANCOGEN_AUTHORS		
	Contributor acknowledgement	GENEPIO:0001518	DataHarmonizer provenance		provenance										The DataHarmonizer software version provenance.	The current software version information will be automatically generated in this field after the user utilizes the "validate" function. This information will be generated regardless as to whether the row is valid of not.	DataHarmonizer provenance: v0.13.21	DataHarmonizer provenance	Additional Comments	HC_COMMENTS		
																						
