Ontology ID	Subset	Meaning (LinkML)	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE	EXPORT_NCBI_SRA	EXPORT_NCBI_Genbank	EXPORT_NCBI_Genbank_source_modifiers
GENEPIO:0100321	Covid-19		Host vaccination information	vaccination history	xs:token							A description of the vaccines received and the administration dates of a series of vaccinations against a specific disease or a set of diseases.	Free text description of the dates and vaccines administered against a particular disease/set of diseases. It is also acceptable to concatenate the individual dose information (vaccine name, vaccination date) separated by semicolons.	Pfizer-BioNTech (Comirnaty); 2021-03-01; Pfizer-BioNTech (Comirnaty); 2022-01-15	Last vaccinated				
GENEPIO:0001409	Covid-19			Host exposure information															
GENEPIO:0001410	Covid-19		Host exposure information	location of exposure geo_loc name (country)	select	geo_loc_name (country)	Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The country where the host was likely exposed to the causative agent of the illness.	Select the country name from pick list provided in the template.	Canada		geo_loc_exposure			
GENEPIO:0001411	Covid-19		Host exposure information	destination of most recent travel (city)	xs:token							The name of the city that was the destination of most recent travel.	Provide the name of the city that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	New York City		host_recent_travel_loc			
GENEPIO:0001412	Covid-19		Host exposure information	destination of most recent travel (state/province/territory)	xs:token							The name of the province that was the destination of most recent travel.	Provide the name of the state/province/territory that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	California		host_recent_travel_loc			
GENEPIO:0001413	Covid-19		Host exposure information	destination of most recent travel (country)	select	geo_loc_name (country)	Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The name of the country that was the destination of most recent travel.	Provide the name of the country that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	United Kingdom		host_recent_travel_loc			
GENEPIO:0001414	Covid-19		Host exposure information	most recent travel departure date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The date of a person's most recent departure from their primary residence (at that time) on a journey to one or more other locations.	Provide the travel departure date.	2020-03-16					
GENEPIO:0001415	Covid-19		Host exposure information	most recent travel return date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The date of a person's most recent return to some residence from a journey originating at that residence.	Provide the travel return date.	2020-04-26		host_recent_travel_return_date			
GENEPIO:0001416	Covid-19		Host exposure information	travel history	xs:token							Travel history in last six months.	Specify the countries (and more granular locations if known, separated by a comma) travelled in the last six months; can include multiple travels. Separate multiple travel events with a semi-colon. List most recent travel first.	Canada, Vancouver; USA, Seattle; Italy, Milan					
GENEPIO:0001417	Covid-19		Host exposure information	exposure event	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Event leading to exposure.	Select an exposure event from the pick list provided in the template. If the desired term is missing, contact the curation team.	Convention	Additional location information	exposure_event			
GENEPIO:0001418	Covid-19		Host exposure information	exposure contact level	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The exposure transmission contact type.	Select direct or indirect exposure from the pick-list.	Direct					
GENEPIO:0001419	Covid-19		Host exposure information	host role	multiple							The role of the host in relation to the exposure setting.	Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	Patient	Additional host information				
GENEPIO:0001428	Covid-19		Host exposure information	exposure setting	multiple							The setting leading to exposure.	Select the host exposure setting(s) from the pick list provided in the template. If a desired term is missing, contact the curation team.	Healthcare Setting	Additional host information				
GENEPIO:0001431	Covid-19		Host exposure information	exposure details	xs:token							Additional host exposure information.	Free text description of the exposure.	Host role - Other: Bus Driver					
																			
																			
GENEPIO:0001434	Covid-19			Host reinfection information															
GENEPIO:0001435	Covid-19		Host reinfection information	prior SARS-CoV-2 infection	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Whether there was prior SARS-CoV-2 infection.	If known, provide infromation about whether the individual had a previous SARS-CoV-2 infection. Select a value from the pick list.	Yes		prior_sars_cov_2_infection			
GENEPIO:0001436	Covid-19		Host reinfection information	prior SARS-CoV-2 infection isolate	xs:token							The identifier of the isolate found in the prior SARS-CoV-2 infection.	Provide the isolate name of the most recent prior infection. Structure the "isolate" name to be ICTV/INSDC compliant in the following format: "SARS-CoV-2/host/country/sampleID/date".	SARS-CoV-2/human/USA/CA-CDPH-001/2020		virus_isolate_of_prior_infection			
GENEPIO:0001437	Covid-19		Host reinfection information	prior SARS-CoV-2 infection date	xs:date							The date of diagnosis of the prior SARS-CoV-2 infection.	Provide the date that the most recent prior infection was diagnosed. Provide the prior SARS-CoV-2 infection date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-23		date_of_prior_sars_cov_2_infection			
GENEPIO:0001438	Covid-19		Host reinfection information	prior SARS-CoV-2 antiviral treatment	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					Whether there was prior SARS-CoV-2 treatment with an antiviral agent.	If known, provide infromation about whether the individual had a previous SARS-CoV-2 antiviral treatment. Select a value from the pick list.	No prior antiviral treatment		prior_sars_cov_2_antiviral_treat			
GENEPIO:0001439	Covid-19		Host reinfection information	prior SARS-CoV-2 antiviral treatment agent	xs:token							The name of the antiviral treatment agent administered during the prior SARS-CoV-2 infection.	Provide the name of the antiviral treatment agent administered during the most recent prior infection. If no treatment was administered, put "No treatment". If multiple antiviral agents were administered, list them all separated by commas.	Remdesivir		antiviral_treatment_agent			
GENEPIO:0001440	Covid-19		Host reinfection information	prior SARS-CoV-2 antiviral treatment date	xs:date							The date treatment was first administered during the prior SARS-CoV-2 infection.	Provide the date that the antiviral treatment agent was first administered during the most recenrt prior infection. Provide the prior SARS-CoV-2 treatment date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-28		date_of_prior_antiviral_treat			
																			
																			
GENEPIO:0001441	Covid-19			Sequencing															
GENEPIO:0001445	Covid-19		Sequencing	purpose of sequencing	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The reason that the sample was sequenced.	The reason why a sample was originally collected may differ from the reason why it was selected for sequencing. The reason a sample was sequenced may provide information about potential biases in sequencing strategy. Provide the purpose of sequencing from the picklist in the template. The reason for sample collection should be indicated in the "purpose of sampling" field. 	Baseline surveillance (random sampling)	Sampling Strategy	purpose_of_sequencing			
GENEPIO:0001446	Covid-19		Sequencing	purpose of sequencing details	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The description of why the sample was sequenced providing specific details.	"Provide an expanded description of why the sample was sequenced using free text. The description may include the importance of the sequences for a particular public health investigation/surveillance activity/research question. Suggested standardized descriotions include: Screened for S gene target failure (S dropout), Screened for mink variants, Screened for B.1.1.7 variant, Screened for B.1.135 variant, Screened for P.1 variant, Screened due to travel history, Screened due to close contact with infected individual, Assessing public health control measures, Determining early introductions and spread, Investigating airline-related exposures, Investigating temporary foreign worker, Investigating remote regions, Investigating health care workers, Investigating schools/universities, Investigating reinfection.
"	Screened for S gene target failure (S dropout)					
GENEPIO:0001447	Covid-19		Sequencing	sequencing date	xs:date		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The date the sample was sequenced.	ISO 8601 standard "YYYY-MM-DD".	2020-06-22					
GENEPIO:0001448	Covid-19		Sequencing	library ID	xs:token			recommended				The user-specified identifier for the library prepared for sequencing.	The library name should be unique, and can be an autogenerated ID from your LIMS, or modification of the isolate ID.	XYZ_123345			library_ID		
GENEPIO:0001449	Covid-19		Sequencing	amplicon size	xs:token							The length of the amplicon generated by PCR amplification.	Provide the amplicon size, including the units.	300bp			amplicon_size		
GENEPIO:0001450	Covid-19		Sequencing	library preparation kit	xs:token							The name of the DNA library preparation kit used to generate the library being sequenced.	Provide the name of the library preparation kit used.	Nextera XT					
GENEPIO:0001451	Covid-19		Sequencing	flow cell barcode	xs:token							The barcode of the flow cell used for sequencing.	Provide the barcode of the flow cell used for sequencing the sample.	FAB06069					
GENEPIO:0001452	Covid-19		Sequencing	sequencing instrument	multiple		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The model of the sequencing instrument used.	Select a sequencing instrument from the picklist provided in the template.	MinIon	Sequencing technology		platform;instrument_model	sequencing_technology	
GENEPIO:0001453	Covid-19		Sequencing	sequencing protocol name	xs:token			recommended				The name and version number of the sequencing protocol used.	Provide the name and version of the sequencing protocol e.g. 1D_DNA_MinION	https://www.protocols.io/view/covid-19-artic-v3-illumina-library-construction-an-bibtkann			sequencing_protocol_name		
GENEPIO:0001454	Covid-19		Sequencing	sequencing protocol  	xs:token							The protocol used to generate the sequence.	Provide a free text description of the methods and materials used to generate the sequence. Suggested text, fill in information where indicated.: "Viral sequencing was performed following a tiling amplicon strategy using the <fill in> primer scheme. Sequencing was performed using a <fill in> sequencing instrument. Libraries were prepared using <fill in> library kit. "	Genomes were generated through amplicon sequencing of 1200 bp amplicons with Freed schema primers. Libraries were created using Illumina DNA Prep kits, and sequence data was produced using Miseq Micro v2 (500 cycles) sequencing kits.			design_description		
GENEPIO:0001455	Covid-19		Sequencing	sequencing kit number	xs:token							The manufacturer's kit number.	Alphanumeric value.	AB456XYZ789					
GENEPIO:0001456	Covid-19		Sequencing	amplicon pcr primer scheme	xs:token							The specifications of the primers (primer sequences, binding positions, fragment size generated etc) used to generate the amplicons to be sequenced.	Provide the name and version of the primer scheme used to generate the amplicons for sequencing.	https://github.com/joshquick/artic-ncov2019/blob/master/primer_schemes/nCoV-2019/V3/nCoV-2019.tsv			amplicon_pcr_primer_scheme		
																			
																			
GENEPIO:0001457	Covid-19			Bioinformatics and QC metrics															
GENEPIO:0001458	Covid-19		Bioinformatics and QC metrics	raw sequence data processing method	xs:token			recommended				The names of the software and version number used for raw data processing such as removing barcodes, adapter trimming, filtering etc.	Provide the software name followed by the version e.g. Trimmomatic v. 0.38, Porechop v. 0.2.3	Porechop 0.2.3			raw_sequence_data_processing_method 		
GENEPIO:0001459	Covid-19		Bioinformatics and QC metrics	dehosting method	xs:token			recommended				The method used to remove host reads from the pathogen sequence.	Provide the name and version number of the software used to remove host reads.	Nanostripper			dehosting_method		
GENEPIO:0001460	Covid-19		Bioinformatics and QC metrics	consensus sequence name	xs:token							The name of the consensus sequence.	Provide the name and version number of the consensus sequence.	ncov123assembly3					
GENEPIO:0001461	Covid-19		Bioinformatics and QC metrics	consensus sequence filename	xs:token							The name of the consensus sequence file.	Provide the name and version number of the consensus sequence FASTA file.	ncov123assembly.fasta				filename	
GENEPIO:0001462	Covid-19		Bioinformatics and QC metrics	consensus sequence filepath	xs:token							The filepath of the consesnsus sequence file.	Provide the filepath of the consensus sequence FASTA file.	/User/Documents/RespLab/Data/ncov123assembly.fasta					
GENEPIO:0001463	Covid-19		Bioinformatics and QC metrics	consensus sequence software name	xs:token			required				The name of software used to generate the consensus sequence.	Provide the name of the software used to generate the consensus sequence.	Ivar	Assembly method			assembly_method	
GENEPIO:0001469	Covid-19		Bioinformatics and QC metrics	consensus sequence software version	xs:decimal			required				The version of the software used to generate the consensus sequence.	Provide the version of the software used to generate the consensus sequence.	1.3	Assembly method			assembly_method_version	
GENEPIO:0001472	Covid-19		Bioinformatics and QC metrics	breadth of coverage value	xs:token							The percentage of the reference genome covered by the sequenced data, to a prescribed depth.	Provide value as a percent.	95%					
GENEPIO:0001474	Covid-19		Bioinformatics and QC metrics	depth of coverage value	xs:token							The average number of reads representing a given nucleotide in the reconstructed sequence.	Provide value as a fold of coverage.	400x	Coverage			genome_coverage	
GENEPIO:0001475	Covid-19		Bioinformatics and QC metrics	depth of coverage threshold	xs:token							The threshold used as a cut-off for the depth of coverage.	Provide the threshold fold coverage.	100x					
GENEPIO:0001476	Covid-19		Bioinformatics and QC metrics	r1 fastq filename        	xs:token							The user-specified filename of the r1 FASTQ file.	Provide the r1 FASTQ filename.	ABC123_S1_L001_R1_001.fastq.gz					
GENEPIO:0001477	Covid-19		Bioinformatics and QC metrics	r2 fastq filename	xs:token							The user-specified filename of the r2 FASTQ file.	Provide the r2 FASTQ filename.	ABC123_S1_L001_R2_001.fastq.gz					
GENEPIO:0001478	Covid-19		Bioinformatics and QC metrics	r1 fastq filepath	xs:token							The location of the r1 FASTQ file within a user's file system.	Provide the filepath for the r1 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R1_001.fastq.gz					
GENEPIO:0001479	Covid-19		Bioinformatics and QC metrics	r2 fastq filepath	xs:token							The location of the r2 FASTQ file within a user's file system.	Provide the filepath for the r2 FASTQ file. This information aids in data management. 	/User/Documents/RespLab/Data/ABC123_S1_L001_R2_001.fastq.gz					
GENEPIO:0001480	Covid-19		Bioinformatics and QC metrics	fast5 filename	xs:token							The user-specified filename of the FAST5 file.	Provide the FAST5 filename.	rona123assembly.fast5					
GENEPIO:0001481	Covid-19		Bioinformatics and QC metrics	fast5 filepath	xs:token							The location of the FAST5 file within a user's file system.	Provide the filepath for the FAST5 file. This information aids in data management. 	/User/Documents/RespLab/Data/rona123assembly.fast5					
GENEPIO:0001482	Covid-19		Bioinformatics and QC metrics	number of base pairs sequenced	xs:nonNegativeInteger							The number of total base pairs generated by the sequencing process.	Provide a numerical value (no need to include units).	387566					
GENEPIO:0001483	Covid-19		Bioinformatics and QC metrics	consensus genome length	xs:nonNegativeInteger							Size of the reconstructed genome described as the number of base pairs.	Provide a numerical value (no need to include units).	38677					
GENEPIO:0001484	Covid-19		Bioinformatics and QC metrics	Ns per 100 kbp	xs:decimal				0			The number of N symbols present in the consensus fasta sequence, per 100kbp of sequence.	Provide a numerical value (no need to include units).	330					
GENEPIO:0001485	Covid-19		Bioinformatics and QC metrics	reference genome accession	xs:token							A persistent, unique identifier of a genome database entry.	Provide the accession number of the reference genome.	NC_045512.2				reference_genome	
GENEPIO:0001489	Covid-19		Bioinformatics and QC metrics	bioinformatics protocol	xs:token							The name and version number of the bioinformatics protocol used.	Further details regarding the methods used to process raw data, and/or generate assemblies, and/or generate consensus sequences can be provided in an SOP or protocol. Provide the name and version number of the protocol.	https://www.protocols.io/groups/cphln-sarscov2-sequencing-consortium/members					
GENEPIO:0001498	Covid-19			Lineage and Variant information															
GENEPIO:0001500	Covid-19		Lineage and Variant information	lineage/clade name	xs:token							The name of the lineage or clade.	Provide the Pangolin or Nextstrain lineage/clade name.	B.1.1.7					
GENEPIO:0001501	Covid-19		Lineage and Variant information	lineage/clade analysis software name	xs:token							The name of the software used to determine the lineage/clade.	Provide the name of the software used to determine the lineage/clade.	Pangolin					
GENEPIO:0001502	Covid-19		Lineage and Variant information	lineage/clade analysis software version	xs:token							The version of the software used to determine the lineage/clade.	Provide the version of the software used ot determine the lineage/clade.	2.1.10					
GENEPIO:0001503	Covid-19		Lineage and Variant information	variant designation	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The variant classification of the lineage/clade i.e. variant, variant of concern.	If the lineage/clade is considered a Variant of Concern, select Variant of Concern from the pick list. If the lineage/clade contains mutations of concern (mutations that increase transmission, clincal severity, or other epidemiological fa ctors) but it not a global Variant of Concern, select Variant. If the lineage/clade does not contain mutations of concern, leave blank.	Variant of Concern					
GENEPIO:0001504	Covid-19		Lineage and Variant information	variant evidence details	xs:token							Details about the evidence used to make the variant determination.	Provide the assay and list the set of lineage-defining mutations used to make the variant determination. If there are mutations of interest/concern observed in addition to lineage-defining mutations, describe those here.	RT-qPCR TaqPath assay: S gene target failure					
GENEPIO:0001506	Covid-19			Pathogen diagnostic testing															
GENEPIO:0001507	Covid-19		Pathogen diagnostic testing	gene name 1	select		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of the gene used in the test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	E gene (orf4)		sars_cov_2_diag_gene_name_1			
GENEPIO:0001508	Covid-19		Pathogen diagnostic testing	diagnostic pcr protocol 1	xs:token							The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	EGenePCRTest 2					
GENEPIO:0001509	Covid-19		Pathogen diagnostic testing	diagnostic pcr Ct value 1	xs:token							The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the diagnostic RT-PCR test.	21		sars_cov_2_diag_pcr_ct_value_1			
GENEPIO:0001510	Covid-19		Pathogen diagnostic testing	gene name 2	select	gene name 1	Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]					The name of the gene used in the diagnostic RT-PCR test.	Provide the full name of another gene used in an RT-PCR test. The gene symbol (short form of gene name) can also be provided. Standardized gene names and symbols can be found in the Gene Ontology using this look-up service: https://bit.ly/2Sq1LbI	RdRp gene (nsp12)		sars_cov_2_diag_gene_name_2			
GENEPIO:0001511	Covid-19		Pathogen diagnostic testing	diagnostic pcr protocol 2	xs:token							The name and version number of the protocol used for diagnostic marker amplification.	The name and version number of the protocol used for carrying out a second diagnostic PCR test. This information can be compared to sequence data for evaluation of performance and quality control.	RdRpGenePCRTest 3					
GENEPIO:0001512	Covid-19		Pathogen diagnostic testing	diagnostic pcr Ct value 2	xs:token							The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	Provide the CT value of the sample from the second diagnostic RT-PCR test.	36		sars_cov_2_diag_pcr_ct_value_2			
	Covid-19																		
GENEPIO:0100322	Covid-19			NCBI SRA information															
GENEPIO:0100323	Covid-19		NCBI SRA information	title	xs:token							Short description that will identify  the dataset on public pages.	Format: {methodology} of {organism}: {sample info}	Genomic sequencing of SARS-CoV-2: Nasopharynx (NP), Swab			title		
GENEPIO:0100324	Covid-19		NCBI SRA information	library_strategy	select							See NCBI SRA template for details.	Provide the library strategy by selecting a value from the pick list. For amplicon sequencing select "AMPLICON". 				library_strategy		
GENEPIO:0100325	Covid-19		NCBI SRA information	library_source	select							See NCBI SRA template for details.	Provide the library source by selecting a value from the pick list. For amplicon sequencing select "Viral RNA". 				library_source		
GENEPIO:0100326	Covid-19		NCBI SRA information	library_selection	select							See NCBI SRA template for details.	Provide the library selection by selecting a value from the pick list. For amplicon sequencing select "PCR". 				library_selection		
GENEPIO:0100327	Covid-19		NCBI SRA information	library_layout	select							See NCBI SRA template for details.	Provide the library layout by selecting a value from the pick list. For Illumina instruments, select "PAIRED". For Oxford Nanopore instruments, select "SINGLE".				library_layout		
GENEPIO:0100328	Covid-19		NCBI SRA information	filetype	select							See NCBI SRA template for details.	Provide the filetype by selecting a value from the pick list. 				filetype		
GENEPIO:0100329	Covid-19		NCBI SRA information	filename	xs:token							See NCBI SRA template for details.	Provide the appropriate filename recorded in the Bioinformatics and QC metrics section. If sequence data is "paired", provide the second filename under "Filename 2".				filename		
GENEPIO:0100330	Covid-19		NCBI SRA information	filename2								See NCBI SRA template for details.	Provide the appropriate filename recorded in the Bioinformatics and QC metrics section.				filename2		
																			
GENEPIO:0001516	Covid-19			Contributor acknowledgement															
GENEPIO:0001517	Covid-19		Contributor acknowledgement	authors	xs:token			recommended				Names of individuals contributing to the processes of sample collection, sequence generation, analysis, and data submission.	Include the first and last names of all individuals that should be attributed, separated by a comma.	Tejinder Singh, Fei Hu, Joe Blogs	Authors				
GENEPIO:0001518	Covid-19		Contributor acknowledgement	DataHarmonizer provenance	provenance							The DataHarmonizer software version provenance.	The current software version information will be automatically generated in this field after the user utilizes the "validate" function. This information will be generated regardless as to whether the row is valid of not.	DataHarmonizer provenance: v0.13.21					
																			
																			
				data status	select														
GENEPIO:0001619	Covid-19		data status	Not Applicable [GENEPIO:0001619]															
GENEPIO:0001620	Covid-19		data status	Not Collected [GENEPIO:0001620]															
GENEPIO:0001668	Covid-19		data status	Not Provided [GENEPIO:0001668]															
GENEPIO:0001618	Covid-19		data status	Missing [GENEPIO:0001618]															
GENEPIO:0001810	Covid-19		data status	Restricted Access [GENEPIO:0001810]															
																			
																			
UO:0000035	Covid-19		host age unit	month [UO:0000035]															
UO:0000036	Covid-19		host age unit	year [UO:0000036]															
																			
																			
OBI:0000895	Covid-19		biomaterial extracted	RNA (Total) [OBI:0000895]															
OBI:0000869	Covid-19		biomaterial extracted	RNA (Poly-A) [OBI:0000869]															
OBI:0002627	Covid-19		biomaterial extracted	RNA (Ribo-Depleted) [OBI:0002627]															
GENEPIO:0100104	Covid-19		biomaterial extracted	mRNA (messenger RNA) [GENEPIO:0100104]															
OBI:0002754	Covid-19		biomaterial extracted	mRNA (cDNA) [OBI:0002754]															
																			
																			
HP:0030829	Covid-19		signs and symptoms	Abnormal lung auscultation															
HP:0000223	Covid-19		signs and symptoms	Abnormality of taste sensation															
HP:0041051	Covid-19		Abnormality of taste sensation	      Ageusia (complete loss of taste)															
HP:0031249	Covid-19		Abnormality of taste sensation	      Parageusia (distorted sense of taste)															
HP:0000224	Covid-19		Abnormality of taste sensation	      Hypogeusia (reduced sense of taste)															
HP:0004408	Covid-19		signs and symptoms	Abnormality of the sense of smell															
HP:0000458	Covid-19		Abnormality of the sense of smell	      Anosmia (lost sense of smell)															
HP:0004409	Covid-19		Abnormality of the sense of smell	      Hyposmia (reduced sense of smell)															
HP:0033677	Covid-19		signs and symptoms	Acute Respiratory Distress Syndrome															
HP:0011446	Covid-19		signs and symptoms	Altered mental status															
HP:0011675	Covid-19		signs and symptoms	Arrhythmia															
HP:0100543	Covid-19		Altered mental status	      Cognitive impairment															
HP:0001259	Covid-19		Altered mental status	      Coma															
HP:0001289	Covid-19		Altered mental status	      Confusion															
HP:0031258	Covid-19		Confusion	            Delirium (sudden severe confusion)															
GENEPIO:0100061	Covid-19		Altered mental status	      Inability to arouse (inability to stay awake)															
HP:0000737	Covid-19		Altered mental status	      Irritability															
HP:0002371	Covid-19		Altered mental status	      Loss of speech															
HP:0025406	Covid-19		signs and symptoms	Asthenia (generalized weakness)															
HP:0031352	Covid-19		signs and symptoms	Chest tightness or pressure															
HP:0025145	Covid-19		Chest tightness or pressure	      Rigors (fever shakes)															
HP:0025143	Covid-19		signs and symptoms	Chills (sudden cold sensation)															
HP:0030953	Covid-19		signs and symptoms	Conjunctival injection															
HP:0000509	Covid-19		signs and symptoms	Conjunctivitis (pink eye)															
MP:0001867	Covid-19		signs and symptoms	Coryza (rhinitis)															
HP:0012735	Covid-19		signs and symptoms	Cough 															
HP:0031246	Covid-19		Cough	      Nonproductive cough (dry cough)															
HP:0031245	Covid-19		Cough	      Productive cough (wet cough)															
HP:0000961	Covid-19		signs and symptoms	Cyanosis (blueish skin discolouration)															
HP:0001063	Covid-19		Cyanosis (blueish skin discolouration)	      Acrocyanosis															
HP:0032556	Covid-19		Acrocyanosis	            Circumoral cyanosis (bluish around mouth)															
GENEPIO:0100062	Covid-19		Acrocyanosis	            Cyanotic face (bluish face)															
GENEPIO:0100063	Covid-19		Cyanosis (blueish skin discolouration)	      Central Cyanosis															
GENEPIO:0100064	Covid-19		Central Cyanosis	            Cyanotic lips (bluish lips) 															
GENEPIO:0100065	Covid-19		Cyanosis (blueish skin discolouration)	            Peripheral Cyanosis															
HP:0002094	Covid-19		signs and symptoms	Dyspnea (breathing difficulty) 															
HP:0002014	Covid-19		signs and symptoms	Diarrhea (watery stool)															
MP:0031127	Covid-19		signs and symptoms	Dry gangrene															
HP:0002383	Covid-19		signs and symptoms	Encephalitis (brain inflammation)															
HP:0001298	Covid-19		signs and symptoms	Encephalopathy															
HP:0012378	Covid-19		signs and symptoms	Fatigue (tiredness)															
HP:0001945	Covid-19		signs and symptoms	Fever															
GENEPIO:0100066	Covid-19		Fever	      Fever (>=38°C)															
HP:0000206	Covid-19		signs and symptoms	Glossitis (inflammation of the tongue)															
GENEPIO:0100067	Covid-19		signs and symptoms	Ground Glass Opacities (GGO)															
HP:0002315	Covid-19		signs and symptoms	Headache															
HP:0002105	Covid-19		signs and symptoms	Hemoptysis (coughing up blood)															
HP:0012417	Covid-19		signs and symptoms	Hypocapnia															
HP:0002615	Covid-19		signs and symptoms	Hypotension (low blood pressure)															
HP:0012418	Covid-19		signs and symptoms	Hypoxemia (low blood oxygen)															
GENEPIO:0100068	Covid-19		Hypoxemia (low blood oxygen)	      Silent hypoxemia															
HP:0011029	Covid-19		signs and symptoms	Internal hemorrhage (internal bleeding)															
NCIT:C121416	Covid-19		signs and symptoms	Loss of Fine Movements															
HP:0004396	Covid-19		signs and symptoms	Low appetite															
HP:0033834	Covid-19		signs and symptoms	Malaise (general discomfort/unease)															
HP:0031179	Covid-19		signs and symptoms	Meningismus/nuchal rigidity															
HP:0001324	Covid-19		signs and symptoms	Muscle weakness															
HP:0001742	Covid-19		signs and symptoms	Nasal obstruction (stuffy nose)															
HP:0002018	Covid-19		signs and symptoms	Nausea															
HP:0000421	Covid-19		signs and symptoms	Nose bleed															
GENEPIO:0100069	Covid-19		signs and symptoms	Otitis															
HP:0012531	Covid-19		signs and symptoms	Pain															
HP:0002027	Covid-19		Pain	      Abdominal pain															
HP:0002829	Covid-19		Pain	      Arthralgia (painful joints)															
HP:0100749	Covid-19		Pain	      Chest pain															
HP:0033771	Covid-19		Chest pain	            Pleuritic chest pain															
HP:0003326	Covid-19		Pain	      Myalgia (muscle pain) 															
HP:0025439	Covid-19		signs and symptoms	Pharyngitis (sore throat) 															
GENEPIO:0100070	Covid-19		signs and symptoms	Pharyngeal exudate															
HP:0002202	Covid-19		signs and symptoms	Pleural effusion															
HP:0002090	Covid-19		signs and symptoms	Pneumonia															
HP:0033696	Covid-19		signs and symptoms	Pseudo-chilblains															
GENEPIO:0100072	Covid-19		Pseudo-chilblains	      Pseudo-chilblains on fingers (covid fingers)															
GENEPIO:0100073	Covid-19		Pseudo-chilblains	      Pseudo-chilblains on toes (covid toes)															
HP:0000988	Covid-19		signs and symptoms	Rash															
HP:0031417	Covid-19		signs and symptoms	Rhinorrhea (runny nose)															
HP:0001250	Covid-19		signs and symptoms	Seizure															
HP:0020219	Covid-19		Seizure	      Motor seizure															
HP:0025144	Covid-19		signs and symptoms	Shivering (involuntary muscle twitching)															
