Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples
	Antimicrobial resistance	sulfisoxazole_testing_standard_details	xs:token									
	Antimicrobial resistance	sulfisoxazole_susceptible_breakpoint	xs:token									
	Antimicrobial resistance	sulfisoxazole_intermediate_breakpoint	xs:token									
	Antimicrobial resistance	sulfisoxazole_resistant_breakpoint	xs:token									
	Antimicrobial resistance	tetracycline_testing_standard	xs:token									
	Antimicrobial resistance	tetracycline_testing_standard_version	xs:token									
	Antimicrobial resistance	tetracycline_testing_standard_details	xs:token									
	Antimicrobial resistance	tetracycline_susceptible_breakpoint	xs:token									
	Antimicrobial resistance	tetracycline_intermediate_breakpoint	xs:token									
	Antimicrobial resistance	tetracycline_resistant_breakpoint	xs:token									
												
												
												
	purpose_of_sampling	Cluster/Outbreak investigation										
	purpose_of_sampling	Diagnostic testing										
	purpose_of_sampling	Research										
	purpose_of_sampling	Surveillance										
	purpose_of_sampling	Monitoring										
	purpose_of_sampling	Field experiment										
	purpose_of_sampling	Clinical trial										
	purpose_of_sampling	Environmental testing										
												
												
	purpose_of_sequencing	Cluster/Outbreak investigation										
	purpose_of_sequencing	Diagnostic testing										
	purpose_of_sequencing	Research										
	purpose_of_sequencing	Surveillance										
	purpose_of_sequencing	Monitoring										
	purpose_of_sequencing	Field experiment										
	purpose_of_sequencing	Clinical trial										
	purpose_of_sequencing	Environmental testing										
												
												
	sample_processing	Samples pooled										
	sample_processing	Isolated from single source										
												
												
	sequencing_platform	Illumina										
	sequencing_platform	Pacific Biosciences										
	sequencing_platform	Ion Torrent										
	sequencing_platform	Oxford Nanopore Technologies										
	sequencing_platform	BGI Genomics										
	sequencing_platform	MGI										
												
												
	sequencing_instrument	Illumina										
	sequencing_instrument	     Illumina Genome Analyzer										
	sequencing_instrument	     Illumina Genome Analyzer II										
	sequencing_instrument	     Illumina Genome Analyzer IIx										
	sequencing_instrument	     Illumina HiScanSQ										
	sequencing_instrument	     Illumina HiSeq										
	sequencing_instrument	          Illumina HiSeq X										
	sequencing_instrument	          Illumina HiSeq X Five 										
	sequencing_instrument	          Illumina HiSeq X Ten										
	sequencing_instrument	          Illumina HiSeq 1000										
	sequencing_instrument	          Illumina HiSeq 1500										
	sequencing_instrument	          Illumina HiSeq 2000   										
	sequencing_instrument	          Illumina HiSeq 2500										
	sequencing_instrument	          Illumina HiSeq 3000										
	sequencing_instrument	          Illumina HiSeq 4000										
	sequencing_instrument	     Illumina iSeq  										
	sequencing_instrument	          Illumina iSeq 100										
	sequencing_instrument	     Illumina NovaSeq  										
	sequencing_instrument	          Illumina NovaSeq 6000										
	sequencing_instrument	     Illumina MiniSeq										
	sequencing_instrument	     Illumina MiSeq										
	sequencing_instrument	     Illumina NextSeq										
	sequencing_instrument	          Illumina NextSeq 500										
	sequencing_instrument	          Illumina NextSeq 550										
	sequencing_instrument	          Illumina NextSeq 2000										
	sequencing_instrument	PacBio										
	sequencing_instrument	     PacBio RS 										
	sequencing_instrument	     PacBio RS II										
	sequencing_instrument	     PacBio Sequel										
	sequencing_instrument	     PacBio Sequel II										
	sequencing_instrument	Ion Torrent										
	sequencing_instrument	     Ion Torrent PGM										
	sequencing_instrument	     Ion Torrent Proton										
	sequencing_instrument	     Ion Torrent S5 XL										
	sequencing_instrument	     Ion Torrent S5										
	sequencing_instrument	Oxford Nanopore										
	sequencing_instrument	     Oxford Nanopore GridION										
	sequencing_instrument	     Oxford Nanopore MinION										
	sequencing_instrument	     Oxford Nanopore PromethION										
	sequencing_instrument	BGISEQ										
	sequencing_instrument	     BGISEQ-500										
	sequencing_instrument	DNBSEQ										
	sequencing_instrument	     DNBSEQ-T7										
	sequencing_instrument	     DNBSEQ-G400										
	sequencing_instrument	     DNBSEQ-G400 FAST										
	sequencing_instrument	     DNBSEQ-G50										
												
												
	experimental_activity	Antimicrobial pre-treatment										
	experimental_activity	Probiotic pre-treatment										
	experimental_activity	Microbial pre-treatment										
	experimental_activity	Genetic mutation										
												
												
	experimental_intervention	Addition of substances to food/water										
	experimental_intervention	Administration of drug										
	experimental_intervention	Administration of probiotic										
	experimental_intervention	Change in storage conditions										
	experimental_intervention	Cleaning/disinfection										
	experimental_intervention	Extended downtime between activities										
	experimental_intervention	Logistic slaughter										
	experimental_intervention	Vaccination										
												
												
	geo_loc_name (state/province/region)	Alberta										
	geo_loc_name (state/province/region)	British Columbia										
	geo_loc_name (state/province/region)	Manitoba										
	geo_loc_name (state/province/region)	New Brunswick										
	geo_loc_name (state/province/region)	Newfoundland and Labrador										
	geo_loc_name (state/province/region)	Northwest Territories										
	geo_loc_name (state/province/region)	Nova Scotia										
	geo_loc_name (state/province/region)	Nunavut										
	geo_loc_name (state/province/region)	Ontario										
	geo_loc_name (state/province/region)	Prince Edward Island										
	geo_loc_name (state/province/region)	Quebec										
	geo_loc_name (state/province/region)	Saskatchewan										
	geo_loc_name (state/province/region)	Yukon										
												
												
												
												
	geo_loc_name (country)	Afghanistan										
	geo_loc_name (country)	Albania										
	geo_loc_name (country)	Algeria										
	geo_loc_name (country)	American Samoa										
	geo_loc_name (country)	Andorra										
	geo_loc_name (country)	Angola										
	geo_loc_name (country)	Anguilla										
	geo_loc_name (country)	Antarctica										
	geo_loc_name (country)	Antigua and Barbuda										
	geo_loc_name (country)	Argentina										
	geo_loc_name (country)	Armenia										
	geo_loc_name (country)	Aruba										
	geo_loc_name (country)	Ashmore and Cartier Islands										
	geo_loc_name (country)	Australia										
	geo_loc_name (country)	Austria										
	geo_loc_name (country)	Azerbaijan										
	geo_loc_name (country)	Bahamas										
	geo_loc_name (country)	Bahrain										
	geo_loc_name (country)	Baker Island										
	geo_loc_name (country)	Bangladesh										
	geo_loc_name (country)	Barbados										
	geo_loc_name (country)	Bassas da India										
	geo_loc_name (country)	Belarus										
	geo_loc_name (country)	Belgium										
	geo_loc_name (country)	Belize										
	geo_loc_name (country)	Benin										
	geo_loc_name (country)	Bermuda										
	geo_loc_name (country)	Bhutan										
	geo_loc_name (country)	Bolivia										
	geo_loc_name (country)	Borneo										
	geo_loc_name (country)	Bosnia and Herzegovina										
	geo_loc_name (country)	Botswana										
	geo_loc_name (country)	Bouvet Island										
	geo_loc_name (country)	Brazil										
	geo_loc_name (country)	British Virgin Islands										
	geo_loc_name (country)	Brunei										
	geo_loc_name (country)	Bulgaria										
	geo_loc_name (country)	Burkina Faso										
	geo_loc_name (country)	Burundi										
	geo_loc_name (country)	Cambodia										
	geo_loc_name (country)	Cameroon										
	geo_loc_name (country)	Canada										
	geo_loc_name (country)	Cape Verde										
	geo_loc_name (country)	Cayman Islands										
	geo_loc_name (country)	Central African Republic										
	geo_loc_name (country)	Chad										
	geo_loc_name (country)	Chile										
	geo_loc_name (country)	China										
	geo_loc_name (country)	Christmas Island										
	geo_loc_name (country)	Clipperton Island										
	geo_loc_name (country)	Cocos Islands										
	geo_loc_name (country)	Colombia										
	geo_loc_name (country)	Comoros										
	geo_loc_name (country)	Cook Islands										
	geo_loc_name (country)	Coral Sea Islands										
	geo_loc_name (country)	Costa Rica										
	geo_loc_name (country)	Cote d'Ivoire										
	geo_loc_name (country)	Croatia										
	geo_loc_name (country)	Cuba										
	geo_loc_name (country)	Curacao										
	geo_loc_name (country)	Cyprus										
	geo_loc_name (country)	Czech Republic										
	geo_loc_name (country)	Democratic Republic of the Congo										
	geo_loc_name (country)	Denmark										
	geo_loc_name (country)	Djibouti										
	geo_loc_name (country)	Dominica										
	geo_loc_name (country)	Dominican Republic										
	geo_loc_name (country)	Ecuador										
	geo_loc_name (country)	Egypt										
	geo_loc_name (country)	El Salvador										
	geo_loc_name (country)	Equatorial Guinea										
	geo_loc_name (country)	Eritrea										
	geo_loc_name (country)	Estonia										
	geo_loc_name (country)	Eswatini										
	geo_loc_name (country)	Ethiopia										
	geo_loc_name (country)	Europa Island										
	geo_loc_name (country)	Falkland Islands (Islas Malvinas)										
	geo_loc_name (country)	Faroe Islands										
	geo_loc_name (country)	Fiji										
	geo_loc_name (country)	Finland										
	geo_loc_name (country)	France										
	geo_loc_name (country)	French Guiana										
	geo_loc_name (country)	French Polynesia										
	geo_loc_name (country)	French Southern and Antarctic Lands										
	geo_loc_name (country)	Gabon										
	geo_loc_name (country)	Gambia										
	geo_loc_name (country)	Gaza Strip										
	geo_loc_name (country)	Georgia										
	geo_loc_name (country)	Germany										
	geo_loc_name (country)	Ghana										
	geo_loc_name (country)	Gibraltar										
	geo_loc_name (country)	Glorioso Islands										
	geo_loc_name (country)	Greece										
	geo_loc_name (country)	Greenland										
	geo_loc_name (country)	Grenada										
	geo_loc_name (country)	Guadeloupe										
	geo_loc_name (country)	Guam										
	geo_loc_name (country)	Guatemala										
	geo_loc_name (country)	Guernsey										
	geo_loc_name (country)	Guinea										
	geo_loc_name (country)	Guinea-Bissau										
	geo_loc_name (country)	Guyana										
	geo_loc_name (country)	Haiti										
	geo_loc_name (country)	Heard Island and McDonald Islands										
	geo_loc_name (country)	Honduras										
	geo_loc_name (country)	Hong Kong										
	geo_loc_name (country)	Howland Island										
	geo_loc_name (country)	Hungary										
	geo_loc_name (country)	Iceland										
	geo_loc_name (country)	India										
	geo_loc_name (country)	Indonesia										
	geo_loc_name (country)	Iran										
	geo_loc_name (country)	Iraq										
	geo_loc_name (country)	Ireland										
	geo_loc_name (country)	Isle of Man										
	geo_loc_name (country)	Israel										
	geo_loc_name (country)	Italy										
	geo_loc_name (country)	Jamaica										
	geo_loc_name (country)	Jan Mayen										
	geo_loc_name (country)	Japan										
	geo_loc_name (country)	Jarvis Island										
	geo_loc_name (country)	Jersey										
	geo_loc_name (country)	Johnston Atoll										
	geo_loc_name (country)	Jordan										
	geo_loc_name (country)	Juan de Nova Island										
	geo_loc_name (country)	Kazakhstan										
	geo_loc_name (country)	Kenya										
	geo_loc_name (country)	Kerguelen Archipelago										
	geo_loc_name (country)	Kingman Reef										
	geo_loc_name (country)	Kiribati										
	geo_loc_name (country)	Kosovo										
	geo_loc_name (country)	Kuwait										
	geo_loc_name (country)	Kyrgyzstan										
	geo_loc_name (country)	Laos										
	geo_loc_name (country)	Latvia										
	geo_loc_name (country)	Lebanon										
	geo_loc_name (country)	Lesotho										
	geo_loc_name (country)	Liberia										
	geo_loc_name (country)	Libya										
	geo_loc_name (country)	Liechtenstein										
	geo_loc_name (country)	Line Islands										
	geo_loc_name (country)	Lithuania										
	geo_loc_name (country)	Luxembourg										
	geo_loc_name (country)	Macau										
	geo_loc_name (country)	Madagascar										
	geo_loc_name (country)	Malawi										
	geo_loc_name (country)	Malaysia										
	geo_loc_name (country)	Maldives										
	geo_loc_name (country)	Mali										
	geo_loc_name (country)	Malta										
	geo_loc_name (country)	Marshall Islands										
	geo_loc_name (country)	Martinique										
	geo_loc_name (country)	Mauritania										
	geo_loc_name (country)	Mauritius										
	geo_loc_name (country)	Mayotte										
	geo_loc_name (country)	Mexico										
	geo_loc_name (country)	Micronesia										
	geo_loc_name (country)	Midway Islands										
	geo_loc_name (country)	Moldova										
	geo_loc_name (country)	Monaco										
	geo_loc_name (country)	Mongolia										
	geo_loc_name (country)	Montenegro										
	geo_loc_name (country)	Montserrat										
	geo_loc_name (country)	Morocco										
	geo_loc_name (country)	Mozambique										
	geo_loc_name (country)	Myanmar										
	geo_loc_name (country)	Namibia										
	geo_loc_name (country)	Nauru										
	geo_loc_name (country)	Navassa Island										
	geo_loc_name (country)	Nepal										
	geo_loc_name (country)	Netherlands										
	geo_loc_name (country)	New Caledonia										
	geo_loc_name (country)	New Zealand										
	geo_loc_name (country)	Nicaragua										
	geo_loc_name (country)	Niger										
	geo_loc_name (country)	Nigeria										
	geo_loc_name (country)	Niue										
	geo_loc_name (country)	Norfolk Island										
	geo_loc_name (country)	North Korea										
	geo_loc_name (country)	North Macedonia										
	geo_loc_name (country)	North Sea										
	geo_loc_name (country)	Northern Mariana Islands										
	geo_loc_name (country)	Norway										
	geo_loc_name (country)	Oman										
	geo_loc_name (country)	Pakistan										
	geo_loc_name (country)	Palau										
	geo_loc_name (country)	Panama										
	geo_loc_name (country)	Papua New Guinea										
	geo_loc_name (country)	Paracel Islands										
	geo_loc_name (country)	Paraguay										
	geo_loc_name (country)	Peru										
	geo_loc_name (country)	Philippines										
	geo_loc_name (country)	Pitcairn Islands										
	geo_loc_name (country)	Poland										
	geo_loc_name (country)	Portugal										
	geo_loc_name (country)	Puerto Rico										
	geo_loc_name (country)	Qatar										
	geo_loc_name (country)	Republic of the Congo										
	geo_loc_name (country)	Reunion										
	geo_loc_name (country)	Romania										
	geo_loc_name (country)	Ross Sea										
	geo_loc_name (country)	Russia										
	geo_loc_name (country)	Rwanda										
	geo_loc_name (country)	Saint Helena										
	geo_loc_name (country)	Saint Kitts and Nevis										
	geo_loc_name (country)	Saint Lucia										
	geo_loc_name (country)	Saint Pierre and Miquelon										
	geo_loc_name (country)	Saint Martin										
	geo_loc_name (country)	Saint Vincent and the Grenadines										
	geo_loc_name (country)	Samoa										
	geo_loc_name (country)	San Marino										
	geo_loc_name (country)	Sao Tome and Principe										
	geo_loc_name (country)	Saudi Arabia										
	geo_loc_name (country)	Senegal										
	geo_loc_name (country)	Serbia										
	geo_loc_name (country)	Seychelles										
	geo_loc_name (country)	Sierra Leone										
	geo_loc_name (country)	Singapore										
	geo_loc_name (country)	Sint Maarten										
	geo_loc_name (country)	Slovakia										
	geo_loc_name (country)	Slovenia										
	geo_loc_name (country)	Solomon Islands										
	geo_loc_name (country)	Somalia										
	geo_loc_name (country)	South Africa										
	geo_loc_name (country)	South Georgia and the South Sandwich Islands										
	geo_loc_name (country)	South Korea										
	geo_loc_name (country)	South Sudan										
	geo_loc_name (country)	Spain										
	geo_loc_name (country)	Spratly Islands										
	geo_loc_name (country)	Sri Lanka										
	geo_loc_name (country)	State of Palestine										
	geo_loc_name (country)	Sudan										
	geo_loc_name (country)	Suriname										
	geo_loc_name (country)	Svalbard										
	geo_loc_name (country)	Swaziland										
	geo_loc_name (country)	Sweden										
	geo_loc_name (country)	Switzerland										
	geo_loc_name (country)	Syria										
	geo_loc_name (country)	Taiwan										
	geo_loc_name (country)	Tajikistan										
	geo_loc_name (country)	Tanzania										
	geo_loc_name (country)	Thailand										
	geo_loc_name (country)	Timor-Leste										
	geo_loc_name (country)	Togo										
	geo_loc_name (country)	Tokelau										
	geo_loc_name (country)	Tonga										
	geo_loc_name (country)	Trinidad and Tobago										
	geo_loc_name (country)	Tromelin Island										
	geo_loc_name (country)	Tunisia										
	geo_loc_name (country)	Turkey										
	geo_loc_name (country)	Turkmenistan										
	geo_loc_name (country)	Turks and Caicos Islands										
	geo_loc_name (country)	Tuvalu										
	geo_loc_name (country)	United States of America										
	geo_loc_name (country)	Uganda										
	geo_loc_name (country)	Ukraine										
	geo_loc_name (country)	United Arab Emirates										
	geo_loc_name (country)	United Kingdom										
	geo_loc_name (country)	Uruguay										
	geo_loc_name (country)	Uzbekistan										
	geo_loc_name (country)	Vanuatu										
	geo_loc_name (country)	Venezuela										
	geo_loc_name (country)	Viet Nam										
	geo_loc_name (country)	Virgin Islands										
	geo_loc_name (country)	Wake Island										
	geo_loc_name (country)	Wallis and Futuna										
	geo_loc_name (country)	West Bank										
	geo_loc_name (country)	Western Sahara										
	geo_loc_name (country)	Yemen										
	geo_loc_name (country)	Zambia										
	geo_loc_name (country)	Zimbabwe										
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
