class_name	slot_group	slot_group_fr	slot_uri	title	name	title_fr	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	description_fr	comments	comments_fr	examples	examples_fr	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001243	collection protocol	collection_protocol	Protocole de prélèvement	WhitespaceMinimizedString										The name and version of a particular protocol used for sampling.	Nom et version d’un protocole particulier utilisé pour l’échantillonnage	Free text.	Texte libre.  	BCRonaSamplingProtocol v. 1.2	CBRonaProtocoleÉchantillonnage v. 1.2			collection protocol		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001253	specimen processing	specimen_processing	Traitement des échantillons	SpecimenProcessingMenu	NullValueMenu		TRUE		TRUE					Any processing applied to the sample during or after receiving the sample.	Tout traitement appliqué à l’échantillon pendant ou après sa réception	Critical for interpreting data. Select all the applicable processes from the pick list. If virus was passaged, include information in "lab host", "passage number", and "passage method" fields. If none of the processes in the pick list apply, put "not applicable".	Essentiel pour l’interprétation des données. Sélectionnez tous les processus applicables dans la liste de sélection. Si le virus a été transmis, ajoutez les renseignements dans les champs « Laboratoire hôte », « Nombre de transmissions » et « Méthode de transmission ». Si aucun des processus de la liste de sélection ne s’applique, inscrivez « Sans objet ».	Virus passage	Transmission du virus	Passage details/history		specimen processing		
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0100311	specimen processing details	specimen_processing_details	Détails du traitement des échantillons	WhitespaceMinimizedString										Detailed information regarding the processing applied to a sample during or after receiving the sample.	Renseignements détaillés concernant le traitement appliqué à un échantillon pendant ou après sa réception	Provide a free text description of any processing details applied to a sample.	Fournissez une description en texte libre de tous les détails du traitement appliqués à un échantillon.	25 swabs were pooled and further prepared as a single sample during library prep.	25 écouvillons ont été regroupés et préparés en tant qu’échantillon unique lors de la préparation de la bibliothèque.					
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001255	lab host	lab_host	Laboratoire hôte	LabHostMenu	NullValueMenu				TRUE					Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Nom et description du laboratoire hôte utilisé pour propager l’organisme source ou le matériel à partir duquel l’échantillon a été obtenu	Type of cell line used for propagation. Provide the name of the cell line using the picklist in the template. If not passaged, put "not applicable".	Type de lignée cellulaire utilisée pour la propagation. Choisissez le nom de cette lignée à partir de la liste de sélection dans le modèle. Si le virus n’a pas été transmis, indiquez « Sans objet ».	Vero E6 cell line	Lignée cellulaire Vero E6	Passage details/history		lab host	lab_host	
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001261	passage number	passage_number	Nombre de transmission	integer	NullValueMenu				TRUE	0				Number of passages.	Nombre de transmissions	Provide number of known passages. If not passaged, put "not applicable"	Indiquez le nombre de transmissions connues. Si le virus n’a pas été transmis, indiquez « Sans objet ».	3	3	Passage details/history		passage number	passage_history	
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001264	passage method	passage_method	Méthode de transmission	WhitespaceMinimizedString	NullValueMenu				TRUE					Description of how organism was passaged.	Description de la façon dont l’organisme a été transmis	Free text. Provide a very short description (<10 words). If not passaged, put "not applicable".	Texte libre. Fournissez une brève description (<10 mots). Si le virus n’a pas été transmis, indiquez « Sans objet ».	0.25% trypsin + 0.02% EDTA	0,25 % de trypsine + 0,02 % d’EDTA	Passage details/history		passage method	passage_method	
	Sample collection and processing	Collecte et traitement des échantillons	GENEPIO:0001266	biomaterial extracted	biomaterial_extracted	Biomatériau extrait	BiomaterialExtractedMenu	NullValueMenu									The biomaterial extracted from samples for the purpose of sequencing.	Biomatériau extrait d’échantillons aux fins de séquençage	Provide the biomaterial extracted from the picklist in the template.	Fournissez le biomatériau extrait à partir de la liste de sélection dans le modèle.	RNA (total)	ARN (total)			biomaterial extracted		
			GENEPIO:0001268	Host Information																							
	Host Information	Informations sur l'hôte	GENEPIO:0001386	host (common name)	host_common_name	Hôte (nom commun)	HostCommonNameMenu	NullValueMenu									The commonly used name of the host.	Nom couramment utilisé pour l’hôte	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Common name e.g. human, bat. If the sample was environmental, put "not applicable.	Le nom commun ou scientifique est requis s’il y avait un hôte. Les deux peuvent être fournis s’ils sont connus. Utilisez les termes figurant dans les listes de sélection du modèle. Des exemples de noms communs sont « humain » et « chauve-souris ». Si l’échantillon était environnemental, inscrivez « Sans objet ».	Human	Humain		Animal Type	PH_ANIMAL_TYPE		
	Host Information	Informations sur l'hôte	GENEPIO:0001387	host (scientific name)	host_scientific_name	Hôte (nom scientifique)	HostScientificNameMenu	NullValueMenu			TRUE						The taxonomic, or scientific name of the host.	Nom taxonomique ou scientifique de l’hôte	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Scientific name e.g. Homo sapiens, If the sample was environmental, put "not applicable	Le nom commun ou scientifique est requis s’il y avait un hôte. Les deux peuvent être fournis s’ils sont connus. Utilisez les termes figurant dans les listes de sélection du modèle. Un exemple de nom scientifique est « homo sapiens ». Si l’échantillon était environnemental, inscrivez « Sans objet ».	Homo sapiens	Homo sapiens	Host		host (scientific name)	host	host (scientific name)
	Host Information	Informations sur l'hôte	GENEPIO:0001388	host health state	host_health_state	État de santé de l’hôte	HostHealthStateMenu	NullValueMenu									Health status of the host at the time of sample collection.	État de santé de l’hôte au moment du prélèvement d’échantillons	If known, select a descriptor from the pick list provided in the template.	Si vous le connaissez, sélectionnez un descripteur à partir de la liste de sélection fournie dans le modèle.	Symptomatic	Symptomatique	Patient status	Host Health State	PH_HOST_HEALTH	host_health_state	
	Host Information	Informations sur l'hôte	GENEPIO:0001389	host health status details	host_health_status_details	Détails de l’état de santé de l’hôte	HostHealthStatusDetailsMenu	NullValueMenu									Further details pertaining to the health or disease status of the host at time of collection.	Plus de détails concernant l’état de santé ou de maladie de l’hôte au moment du prélèvement	If known, select a descriptor from the pick list provided in the template.	Si vous le connaissez, sélectionnez un descripteur à partir de la liste de sélection fournie dans le modèle.	Hospitalized (ICU)	Hospitalisé (USI)		Host Health State Details	PH_HOST_HEALTH_DETAILS		
	Host Information	Informations sur l'hôte	GENEPIO:0001390	host health outcome	host_health_outcome	Résultats sanitaires de l’hôte	HostHealthOutcomeMenu	NullValueMenu									Disease outcome in the host.	Résultats de la maladie chez l’hôte	If known, select a descriptor from the pick list provided in the template.	Si vous le connaissez, sélectionnez un descripteur à partir de la liste de sélection fournie dans le modèle.	Recovered	Rétabli			PH_HOST_HEALTH_OUTCOME	host_disease_outcome	
	Host Information	Informations sur l'hôte	GENEPIO:0001391	host disease	host_disease	Maladie de l’hôte	HostDiseaseMenu	NullValueMenu			TRUE						The name of the disease experienced by the host.	Nom de la maladie vécue par l’hôte	Select "COVID-19" from the pick list provided in the template.	Sélectionnez « COVID-19 » à partir de la liste de sélection fournie dans le modèle.	COVID-19	COVID-19		Host Disease	PH_HOST_DISEASE	host_disease	host disease
	Host Information	Informations sur l'hôte	GENEPIO:0001392	host age	host_age	Âge de l’hôte	decimal	NullValueMenu			TRUE		0	130			Age of host at the time of sampling.	Âge de l’hôte au moment du prélèvement d’échantillons	Enter the age of the host in years. If not available, provide a null value. If there is not host, put "Not Applicable".	Entrez l’âge de l’hôte en années. S’il n’est pas disponible, fournissez une valeur nulle. S’il n’y a pas d’hôte, inscrivez « Sans objet ».	79	79	Patient age	Patient Age	PH_AGE	host_age	host age
	Host Information	Informations sur l'hôte	GENEPIO:0001393	host age unit	host_age_unit	Catégorie d’âge de l’hôte	HostAgeUnitMenu	NullValueMenu			TRUE						The unit used to measure the host age, in either months or years.	Unité utilisée pour mesurer l’âge de l’hôte (mois ou année)	Indicate whether the host age is in months or years. Age indicated in months will be binned to the 0 - 9 year age bin. 	Indiquez si l’âge de l’hôte est en mois ou en années. L’âge indiqué en mois sera classé dans la tranche d’âge de 0 à 9 ans.	year	année		Age Units	PH_AGE_UNIT		host age unit
	Host Information	Informations sur l'hôte	GENEPIO:0001394	host age bin	host_age_bin	Groupe d’âge de l’hôte	HostAgeBinMenu	NullValueMenu			TRUE						Age of host at the time of sampling, expressed as an age group.	Âge de l’hôte au moment du prélèvement d’échantillons (groupe d’âge)	Select the corresponding host age bin from the pick list provided in the template. If not available, provide a null value.	Sélectionnez la tranche d’âge correspondante de l’hôte à partir de la liste de sélection fournie dans le modèle. Si vous ne la connaissez pas, fournissez une valeur nulle.	60 - 69	60 - 69		Host Age Category	PH_AGE_GROUP		host age bin
	Host Information	Informations sur l'hôte	GENEPIO:0001395	host gender	host_gender	Genre de l’hôte	HostGenderMenu	NullValueMenu			TRUE						The gender of the host at the time of sample collection.	Genre de l’hôte au moment du prélèvement d’échantillons	Select the corresponding host gender from the pick list provided in the template. If not available, provide a null value. If there is no host, put "Not Applicable".	Sélectionnez le genre correspondant de l’hôte à partir de la liste de sélection fournie dans le modèle. Si vous ne le connaissez pas, fournissez une valeur nulle. S’il n’y a pas d’hôte, inscrivez « Sans objet ».	Male	Homme	Gender	Patient Sex	VD_SEX	host_sex	host gender
	Host Information	Informations sur l'hôte	GENEPIO:0001396	host residence geo_loc name (country)	host_residence_geo_loc_name_country	Résidence de l’hôte – Nom de géo_loc (pays)	GeoLocNameCountryMenu	NullValueMenu									The country of residence of the host.	Pays de résidence de l’hôte	Select the country name from pick list provided in the template.	Sélectionnez le nom du pays à partir de la liste de sélection fournie dans le modèle.	Canada	Canada			PH_HOST_COUNTRY		
	Host Information	Informations sur l'hôte	GENEPIO:0001397	host residence geo_loc name (state/province/territory)	host_residence_geo_loc_name_state_province_territory	Résidence de l’hôte – Nom de géo_loc (état/province/territoire)	GeoLocNameStateProvinceTerritoryMenu	NullValueMenu									The state/province/territory of residence of the host.	État, province ou territoire de résidence de l’hôte	Select the province/territory name from pick list provided in the template.	Sélectionnez le nom de la province ou du territoire à partir de la liste de sélection fournie dans le modèle.	Quebec	Québec			PH_HOST_PROVINCE		
	Host Information	Informations sur l'hôte	GENEPIO:0001398	host subject ID	host_subject_id	ID du sujet de l’hôte	WhitespaceMinimizedString										A unique identifier by which each host can be referred to e.g. #131	Identifiant unique permettant de désigner chaque hôte (p. ex., 131)	Provide the host identifier. Should be a unique, user-defined identifier.	Fournissez l’identifiant de l’hôte. Il doit s’agir d’un identifiant unique défini par l’utilisateur.	BCxy123	BCxy123			host subject ID	host_subject_id	
	Host Information	Informations sur l'hôte	GENEPIO:0001399	symptom onset date	symptom_onset_date	Date d’apparition des symptômes	date	NullValueMenu						{today}			The date on which the symptoms began or were first noted.	Date à laquelle les symptômes ont commencé ou ont été observés pour la première fois	ISO 8601 standard "YYYY-MM-DD".	La date doit être fournie selon le format standard ISO 8601 : « AAAA-MM-JJ ».	2020-03-16	2020-03-16		Symptoms Onset Date	HC_ONSET_DATE		
	Host Information	Informations sur l'hôte	GENEPIO:0001400	signs and symptoms	signs_and_symptoms	Signes et symptômes	SignsAndSymptomsMenu	NullValueMenu		TRUE							A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient or clinician.	Changement perçu dans la fonction ou la sensation (perte, perturbation ou apparence) révélant une maladie, qui est signalé par un patient ou un clinicien	Select all of the symptoms experienced by the host from the pick list.	Sélectionnez tous les symptômes ressentis par l’hôte à partir de la liste de sélection.	Chills (sudden cold sensation); Cough; Fever	Frissons (sensation soudaine de froid); toux; fièvre		Symptoms	HC_SYMPTOMS		
	Host Information	Informations sur l'hôte	GENEPIO:0001401	pre-existing conditions and risk factors	preexisting_conditions_and_risk_factors	Conditions préexistantes et facteurs de risque	PreExistingConditionsAndRiskFactorsMenu	NullValueMenu		TRUE							Patient pre-existing conditions and risk factors. <li>Pre-existing condition: A medical condition that existed prior to the current infection. <li>Risk Factor: A variable associated with an increased risk of disease or infection.	Conditions préexistantes et facteurs de risque du patient <li>Condition préexistante : Condition médicale qui existait avant l’infection actuelle <li>Facteur de risque : Variable associée à un risque accru de maladie ou d’infection 	Select all of the pre-existing conditions and risk factors experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Sélectionnez toutes les conditions préexistantes et tous les facteurs de risque de l’hôte à partir de la liste de sélection. S’il manque le terme souhaité, veuillez communiquer avec l’équipe de conservation des données.	Asthma; Pregnancy; Smoking	Asthme; grossesse; tabagisme			pre-existing conditions and risk factors		
	Host Information	Informations sur l'hôte	GENEPIO:0001402	complications	complications	Complications	ComplicationsMenu	NullValueMenu		TRUE							Patient medical complications that are believed to have occurred as a result of host disease.	Complications médicales du patient qui seraient dues à une maladie de l’hôte	Select all of the complications experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Sélectionnez toutes les complications éprouvées par l’hôte à partir de la liste de sélection. S’il manque le terme souhaité, veuillez communiquer avec l’équipe de conservation des données.	Acute Respiratory Failure; Coma; Septicemia	Insuffisance respiratoire aiguë; coma; septicémie			complications		
			GENEPIO:0001403	Host vaccination information																							
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0001404	host vaccination status	host_vaccination_status	Statut de vaccination de l’hôte	HostVaccinationStatusMenu	NullValueMenu									The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Statut de vaccination de l’hôte (entièrement vacciné, partiellement vacciné ou non vacciné)	Select the vaccination status of the host from the pick list.	Sélectionnez le statut de vaccination de l’hôte à partir de la liste de sélection.	Fully Vaccinated	Entièrement vacciné			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0001406	number of vaccine doses received	number_of_vaccine_doses_received	Nombre de doses du vaccin reçues	integer										The number of doses of the vaccine recived by the host.	Nombre de doses du vaccin reçues par l’hôte	Record how many doses of the vaccine the host has received.	Enregistrez le nombre de doses du vaccin que l’hôte a reçues.	2	2					
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100313	vaccination dose 1 vaccine name	vaccination_dose_1_vaccine_name	Dose du vaccin 1 – Nom du vaccin	VaccineNameMenu	NullValueMenu									The name of the vaccine administered as the first dose of a vaccine regimen.	Nom du vaccin administré comme première dose d’un schéma vaccinal	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the first dose by selecting a value from the pick list	Fournissez le nom et le fabricant correspondant du vaccin contre la COVID-19 administré comme première dose en sélectionnant une valeur à partir de la liste de sélection.	Pfizer-BioNTech (Comirnaty)	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100314	vaccination dose 1 vaccination date	vaccination_dose_1_vaccination_date	Dose du vaccin 1 – Date du vaccin	date	NullValueMenu						{today}			The date the first dose of a vaccine was administered.	Date à laquelle la première dose d’un vaccin a été administrée	Provide the date the first dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	Indiquez la date à laquelle la première dose du vaccin contre la COVID-19 a été administrée. La date doit être fournie selon le format standard ISO 8601 « AAAA-MM-DD ».	2021-03-01	2021-03-01			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100315	vaccination dose 2 vaccine name	vaccination_dose_2_vaccine_name	Dose du vaccin 2 – Nom du vaccin	VaccineNameMenu	NullValueMenu									The name of the vaccine administered as the second dose of a vaccine regimen.	Nom du vaccin administré comme deuxième dose d’un schéma vaccinal	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the second dose by selecting a value from the pick list	Fournissez le nom et le fabricant correspondant du vaccin contre la COVID-19 administré comme deuxième dose en sélectionnant une valeur à partir de la liste de sélection.	Pfizer-BioNTech (Comirnaty)	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100316	vaccination dose 2 vaccination date	vaccination_dose_2_vaccination_date	Dose du vaccin 2 – Date du vaccin	date	NullValueMenu						{today}			The date the second dose of a vaccine was administered.	Date à laquelle la deuxième dose d’un vaccin a été administrée	Provide the date the second dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	Indiquez la date à laquelle la deuxième dose du vaccin contre la COVID-19 a été administrée. La date doit être fournie selon le format standard ISO 8601 « AAAA-MM-DD ».	2021-09-01	2021-09-01			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100317	vaccination dose 3 vaccine name	vaccination_dose_3_vaccine_name	Dose du vaccin 3 – Nom du vaccin	VaccineNameMenu	NullValueMenu									The name of the vaccine administered as the third dose of a vaccine regimen.	Nom du vaccin administré comme troisième dose d’un schéma vaccinal	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the third dose by selecting a value from the pick list	Fournissez le nom et le fabricant correspondant du vaccin contre la COVID-19 administré comme troisième dose en sélectionnant une valeur à partir de la liste de sélection.	Pfizer-BioNTech (Comirnaty)	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100318	vaccination dose 3 vaccination date	vaccination_dose_3_vaccination_date	Dose du vaccin 3 – Date du vaccin	date	NullValueMenu						{today}			The date the third dose of a vaccine was administered.	Date à laquelle la troisième dose d’un vaccin a été administrée	Provide the date the third dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	Indiquez la date à laquelle la troisième dose du vaccin contre la COVID-19 a été administrée. La date doit être fournie selon le format standard ISO 8601 « AAAA-MM-DD ».	2021-12-30	2021-12-30			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100319	vaccination dose 4 vaccine name	vaccination_dose_4_vaccine_name	Dose du vaccin 4 – Nom du vaccin	VaccineNameMenu	NullValueMenu									The name of the vaccine administered as the fourth dose of a vaccine regimen.	Nom du vaccin administré comme quatrième dose d’un schéma vaccinal	Provide the name and the corresponding manufacturer of the COVID-19 vaccine administered as the fourth dose by selecting a value from the pick list	Fournissez le nom et le fabricant correspondant du vaccin contre la COVID-19 administré comme quatrième dose en sélectionnant une valeur à partir de la liste de sélection.	Pfizer-BioNTech (Comirnaty)	Pfizer-BioNTech (Comirnaty)			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100320	vaccination dose 4 vaccination date	vaccination_dose_4_vaccination_date	Dose du vaccin 4 – Date du vaccin	date	NullValueMenu						{today}			The date the fourth dose of a vaccine was administered.	Date à laquelle la quatrième dose d’un vaccin a été administrée	Provide the date the fourth dose of COVID-19 vaccine was administered. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	Indiquez la date à laquelle la quatrième dose du vaccin contre la COVID-19 a été administrée. La date doit être fournie selon le format standard ISO 8601 « AAAA-MM-DD ».	2022-01-15	2022-01-15			PH_VACCINATION_HISTORY		
	Host vaccination information	Informations sur la vaccination de l'hôte	GENEPIO:0100321	vaccination history	vaccination_history	Antécédents de vaccination	WhitespaceMinimizedString										A description of the vaccines received and the administration dates of a series of vaccinations against a specific disease or a set of diseases.	Description des vaccins reçus et dates d’administration d’une série de vaccins contre une maladie spécifique ou un ensemble de maladies	Free text description of the dates and vaccines administered against a particular disease/set of diseases. It is also acceptable to concatenate the individual dose information (vaccine name, vaccination date) separated by semicolons.	Description en texte libre des dates et des vaccins administrés contre une maladie précise ou un ensemble de maladies. Il est également acceptable de concaténer les renseignements sur les doses individuelles (nom du vaccin, date de vaccination) séparées par des points-virgules.	Pfizer-BioNTech (Comirnaty); 2021-03-01; Pfizer-BioNTech (Comirnaty); 2022-01-15	Pfizer-BioNTech (Comirnaty); 2021-03-01; Pfizer-BioNTech (Comirnaty); 2022-01-15			PH_VACCINATION_HISTORY		
			GENEPIO:0001409	Host exposure information																							
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001410	location of exposure geo_loc name (country)	location_of_exposure_geo_loc_name_country	Lieu de l’exposition – Nom de géo_loc (pays)	GeoLocNameCountryMenu	NullValueMenu									The country where the host was likely exposed to the causative agent of the illness.	Pays où l’hôte a probablement été exposé à l’agent causal de la maladie	Select the country name from pick list provided in the template.	Sélectionnez le nom du pays à partir de la liste de sélection fournie dans le modèle.	Canada	Canada			PH_EXPOSURE_COUNTRY		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001411	destination of most recent travel (city)	destination_of_most_recent_travel_city	Destination du dernier voyage (ville)	WhitespaceMinimizedString										The name of the city that was the destination of most recent travel.	Nom de la ville de destination du voyage le plus récent	Provide the name of the city that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Indiquez le nom de la ville dans laquelle l’hôte s’est rendu. Utilisez ce service de recherche pour trouver le terme normalisé : https://www.ebi.ac.uk/ols/ontologies/gaz.	New York City	New York City		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001412	destination of most recent travel (state/province/territory)	destination_of_most_recent_travel_state_province_territory	Destination du dernier voyage (état/province/territoire)	WhitespaceMinimizedString										The name of the province that was the destination of most recent travel.	Nom de la province de destination du voyage le plus récent	Provide the name of the state/province/territory that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Indiquez le nom de l’État, de la province ou du territoire où l’hôte s’est rendu. Utilisez ce service de recherche pour trouver le terme normalisé : https://www.ebi.ac.uk/ols/ontologies/gaz.	California	Californie		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001413	destination of most recent travel (country)	destination_of_most_recent_travel_country	Destination du dernier voyage (pays)	GeoLocNameCountryMenu	NullValueMenu									The name of the country that was the destination of most recent travel.	Nom du pays de destination du voyage le plus récent	Provide the name of the country that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	Indiquez le nom du pays dans lequel l’hôte s’est rendu. Utilisez ce service de recherche pour trouver le terme normalisé : https://www.ebi.ac.uk/ols/ontologies/gaz.	United Kingdom	Royaume-Uni		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001414	most recent travel departure date	most_recent_travel_departure_date	Date de départ de voyage la plus récente	date	NullValueMenu						{today}			The date of a person's most recent departure from their primary residence (at that time) on a journey to one or more other locations.	Date du départ le plus récent d’une personne de sa résidence principale (à ce moment-là) pour un voyage vers un ou plusieurs autres endroits	Provide the travel departure date.	Indiquez la date de départ du voyage.	2020-03-16	2020-03-16		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001415	most recent travel return date	most_recent_travel_return_date	Date de retour de voyage la plus récente	date	NullValueMenu					{most_recent_travel_departure_date}	{today}			The date of a person's most recent return to some residence from a journey originating at that residence.	Date du retour le plus récent d’une personne à une résidence après un voyage au départ de cette résidence	Provide the travel return date.	Indiquez la date de retour du voyage.	2020-04-26	2020-04-26		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0100413	travel point of entry type	travel_point_of_entry_type	Type de point d’entrée du voyage	TravelPointOfEntryTypeMenu	NullValueMenu				TRUE					The type of entry point a traveler arrives through.	Type de point d’entrée par lequel un voyageur arrive	Select the point of entry type.	Sélectionnez le type de point d’entrée.	Air	Air			PH_POINT_OF_ENTRY		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0100414	border testing test day type	border_testing_test_day_type	Jour du dépistage à la frontière	BorderTestingTestDayTypeMenu	NullValueMenu				TRUE					The day a traveller was tested on or after arrival at their point of entry. 	Jour où un voyageur a été testé à son point d’entrée ou après cette date	Select the test day.	Sélectionnez le jour du test.	day 1	Jour 1			PH_DAY		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001416	travel history	travel_history	Antécédents de voyage	WhitespaceMinimizedString										Travel history in last six months.	Historique de voyage au cours des six derniers mois	Specify the countries (and more granular locations if known, separated by a comma) travelled in the last six months; can include multiple travels. Separate multiple travel events with a semi-colon. List most recent travel first.	Précisez les pays (et les emplacements plus précis, si vous les connaissez) visités au cours des six derniers mois, ce qui peut comprendre plusieurs voyages. Séparez plusieurs événements de voyage par un point-virgule. Commencez par le voyage le plus récent.	Canada, Vancouver; USA, Seattle; Italy, Milan	Canada, Vancouver; États-Unis, Seattle; Italie, Milan			PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0100649	travel history availability	travel_history_availability	Disponibilité des antécédents de voyage	TravelHistoryAvailabilityMenu	NullValueMenu									The availability of different types of travel history in the last 6 months (e.g. international, domestic).	Disponibilité de différents types d’historiques de voyages au cours des six derniers mois (p. ex., internationaux, nationaux)	If travel history is available, but the details of travel cannot be provided, indicate this and the type of travel history availble by selecting a value from the picklist. The values in this field can be used to indicate a sample is associated with a travel when the "purpose of sequencing" is not travel-associated.	Si les antécédents de voyage sont disponibles, mais que les détails du voyage ne peuvent pas être fournis, indiquez-le ainsi que le type d’antécédents disponibles en sélectionnant une valeur à partir de la liste de sélection. Les valeurs de ce champ peuvent être utilisées pour indiquer qu’un échantillon est associé à un voyage lorsque le « but du séquençage » n’est pas associé à un voyage.	International travel history available	Antécédents de voyage à l’étranger disponible			PH_TRAVEL		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001417	exposure event	exposure_event	Événement d’exposition	ExposureEventMenu	NullValueMenu									Event leading to exposure.	Événement conduisant à une exposition	Select an exposure event from the pick list provided in the template. If the desired term is missing, contact the curation team.	Sélectionnez un événement conduisant à une exposition à partir de la liste de sélection fournie dans le modèle. S’il manque le terme souhaité, veuillez communiquer avec l’équipe de conservation des données.	Convention	Convention	Additional location information	Exposure Event	PH_EXPOSURE		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001418	exposure contact level	exposure_contact_level	Niveau de contact de l’exposition	ExposureContactLevelMenu	NullValueMenu									The exposure transmission contact type.	Type de contact de transmission d’exposition	Select direct or indirect exposure from the pick-list.	Sélectionnez une exposition directe ou indirecte à partir de la liste de sélection.	Direct	Direct			exposure contact level		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001419	host role	host_role	Rôle de l’hôte	HostRoleMenu			TRUE							The role of the host in relation to the exposure setting.	Rôle de l’hôte par rapport au paramètre d’exposition	Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	Sélectionnez les rôles personnels de l’hôte à partir de la liste de sélection fournie dans le modèle. S’il manque le terme souhaité, veuillez communiquer avec l’équipe de conservation des données.	Patient	Patient			PH_HOST_ROLE		
	Host exposure information	Informations sur l'exposition de l'hôte	GENEPIO:0001428	exposure setting	exposure_setting	Contexte de l’exposition	ExposureSettingMenu			TRUE							The setting leading to exposure.	Contexte menant à l’exposition	Select the host exposure setting(s) from the pick list provided in the template. If a desired term is missing, contact the curation team.	Sélectionnez les contextes menant à l’exposition de l’hôte à partir de la liste de sélection fournie dans le modèle. S’il manque le terme souhaité, veuillez communiquer avec l’équipe de conservation des données.	Healthcare Setting	Milieu de soins de santé			PH_EXPOSURE		
